"","Classic BUGS","WinBUGS","OpenBUGS","JAGS","ADMB","TMB","Stan"
"1996",3,0,0,0,0,0,0
"1997",10,0,0,0,0,0,0
"1998",15,0,0,0,0,0,0
"1999",35,2,0,0,0,0,0
"2000",56,11,0,0,1,0,0
"2001",51,31,0,0,1,0,0
"2002",63,49,0,0,4,0,0
"2003",44,67,0,0,1,0,0
"2004",48,92,0,0,5,0,0
"2005",54,145,0,1,5,0,0
"2006",39,173,0,0,2,0,0
"2007",46,201,3,0,3,0,0
"2008",43,317,6,5,4,0,0
"2009",22,354,5,4,6,0,0
"2010",33,455,18,16,4,0,0
"2011",34,470,45,21,17,0,0
"2012",25,473,95,31,38,0,0
"2013",22,498,120,45,68,0,7
"2014",21,469,161,83,119,0,36
"2015",16,414,120,110,163,6,81
