site	spec	elevation	forest	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	obs1999	obs2000	obs2001	obs2002	obs2003	obs2004	obs2005	obs2006	obs2007	first1999	first2000	first2001	first2002	first2003	first2004	first2005	first2006	first2007
186	Coaltit	420	3	0	1	2	2	0	0	2	1	0	1576	1576	1576	1576	1576	1576	1576	1576	2125	1	0	0	0	0	0	0	0	1
NA.29	Coaltit	450	21	0	0	0	0	3	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.1	Coaltit	1050	32	NA	7	15	19	12	11	12	11	7	NA	2064	2064	2064	3299	3299	3299	3299	3299	NA	1	0	0	1	0	0	0	0
189.1	Coaltit	920	9	11	9	5	9	8	7	9	6	2	1576	2031	2031	2031	2031	2031	2031	2031	169	1	1	0	0	0	0	0	0	1
191.1	Coaltit	1110	35	27	24	21	19	22	31	28	9	18	1976	1976	1976	1976	1976	1976	1976	1976	1976	1	0	0	0	0	0	0	0	0
5	Coaltit	510	2	NA	0	2	1	0	0	0	0	0	NA	2158	3288	3288	3304	3304	3304	3304	3304	NA	1	1	0	1	0	0	0	0
192	Coaltit	800	6	0	6	NA	NA	1	1	7	1	0	3046	2158	NA	NA	2148	1971	2049	1699	1699	1	1	NA	NA	1	1	1	1	0
6.1	Coaltit	630	60	14	15	17	6	20	16	24	15	9	3046	3046	3046	3046	2148	2148	2148	2148	2148	1	0	0	0	1	0	0	0	0
198.1	Coaltit	590	5	2	3	2	1	NA	0	1	0	1	245	245	2064	2064	NA	1699	1699	2261	2261	1	0	1	0	NA	1	0	1	0
199	Coaltit	530	13	7	5	2	3	3	9	10	9	4	2095	2095	2095	2095	2095	2095	2095	2095	2095	1	0	0	0	0	0	0	0	0
8.1	Coaltit	1140	50	27	26	28	28	31	31	54	16	19	3202	3202	3202	3202	3202	1971	3288	3288	3288	1	0	0	0	0	1	1	0	0
200.1	Coaltit	770	57	51	42	34	33	36	36	46	27	10	297	297	297	297	297	297	297	3264	3264	1	0	0	0	0	0	0	1	0
201	Coaltit	1220	84	11	21	14	13	25	18	24	4	11	2135	2135	2135	2135	2135	2135	2135	2135	2135	1	0	0	0	0	0	0	0	0
203	Coaltit	720	15	5	8	NA	6	4	3	7	6	8	3264	3264	NA	3264	3264	2485	2485	2485	2485	1	0	NA	0	0	1	0	0	0
204	Coaltit	460	17	5	NA	1	0	3	6	8	8	7	2095	NA	2270	2270	105	105	105	2254	2254	1	NA	1	0	1	0	0	1	0
206.1	Coaltit	1010	58	14	22	8	14	5	13	15	10	11	3091	3091	3091	3091	3091	3091	3091	3091	3091	1	0	0	0	0	0	0	0	0
208	Coaltit	760	26	8	20	11	4	12	14	13	8	11	3271	3271	3271	3294	2153	3136	3136	3136	3136	1	0	0	1	1	1	0	0	0
210.1	Coaltit	1300	32	13	20	8	15	16	19	26	7	12	2177	2177	2177	2177	2177	2177	2177	2177	2177	1	0	0	0	0	0	0	0	0
212.1	Coaltit	1270	66	47	50	42	24	34	30	29	30	37	1678	1678	1678	2380	2380	2380	2380	2095	2095	1	0	0	1	0	0	0	1	0
14.1	Coaltit	380	45	21	15	15	7	13	14	22	13	4	3050	3050	3050	3050	3050	3050	3050	3050	3050	1	0	0	0	0	0	0	0	0
213	Coaltit	740	44	15	12	14	7	9	8	9	12	8	278	278	278	278	278	278	278	2010	2010	1	0	0	0	0	0	0	1	0
15	Coaltit	760	9	13	12	7	9	1	NA	6	2	7	2031	2031	2031	2031	2096	NA	2246	3136	3136	1	0	0	0	1	NA	1	1	0
214.1	Coaltit	550	31	12	10	11	6	14	18	26	10	7	1702	1702	3015	1702	2400	2400	2400	2400	2400	1	0	1	0	1	0	0	0	0
216	Coaltit	390	8	0	0	0	0	0	2	2	0	0	1439	1439	1439	1439	1439	1439	1439	1439	1439	1	0	0	0	0	0	0	0	0
217.1	Coaltit	1380	78	17	26	13	14	16	15	19	9	15	170	170	170	170	2347	3291	3291	3264	3338	1	0	0	0	1	1	0	1	1
219	Coaltit	530	37	8	14	6	7	10	12	11	7	5	2115	2115	2115	2115	2115	2115	2115	2115	2115	1	0	0	0	0	0	0	0	0
221.1	Coaltit	1190	18	24	28	25	24	25	15	11	9	12	3202	3202	3202	3202	3202	1971	2493	2493	2493	1	0	0	0	0	1	1	0	0
223.1	Coaltit	1490	54	55	44	28	25	39	41	45	26	41	245	245	245	245	2095	2095	2095	2095	2095	1	0	0	0	1	0	0	0	0
225	Coaltit	920	6	8	7	7	4	3	3	5	4	2	3136	3136	3136	3136	3136	3136	3136	3136	3136	1	0	0	0	0	0	0	0	0
24	Coaltit	620	3	1	2	2	2	2	1	1	0	0	3038	3038	3038	3038	3038	3038	3038	3038	3038	1	0	0	0	0	0	0	0	0
226	Coaltit	540	27	2	5	5	4	11	2	5	7	2	2037	2037	2037	2037	2037	2270	2270	1276	1276	1	0	0	0	0	1	0	1	0
229.1	Coaltit	820	56	44	40	12	21	32	35	27	14	14	1856	1856	2043	1856	1856	1856	2165	2531	2493	1	0	1	0	0	0	1	1	1
230.1	Coaltit	1220	66	58	61	67	53	69	66	70	78	67	1679	2018	2018	2018	2018	2018	2018	2018	2018	1	1	0	0	0	0	0	0	0
231	Coaltit	490	5	1	2	NA	NA	0	0	1	3	0	1662	1961	NA	NA	2095	2095	2095	2095	2095	1	1	NA	NA	1	0	0	0	0
232.1	Coaltit	1210	51	48	33	41	41	28	35	46	29	29	2031	2031	2031	2031	2095	2095	2095	2095	2095	1	0	0	0	1	0	0	0	0
29.1	Coaltit	1180	43	25	NA	NA	10	14	11	9	6	27	3136	NA	NA	1341	1341	1341	1341	1341	2507	1	NA	NA	1	0	0	0	0	1
233	Coaltit	730	40	45	40	31	27	34	31	39	19	23	3038	3038	3038	3038	3038	3038	3038	3038	3038	1	0	0	0	0	0	0	0	0
234.1	Coaltit	580	5	NA	2	0	0	1	1	0	0	0	NA	2066	2066	2066	2066	2066	2066	2066	2066	NA	1	0	0	0	0	0	0	0
236.1	Coaltit	1270	52	12	17	11	14	11	11	23	9	10	2098	2098	2098	2098	2098	2098	2098	2098	2049	1	0	0	0	0	0	0	0	1
31	Coaltit	930	38	29	26	22	27	18	19	20	17	20	3213	3213	3213	3213	3213	3213	3213	3213	3213	1	0	0	0	0	0	0	0	0
238.1	Coaltit	510	49	9	6	8	4	6	9	11	8	4	1933	1933	1933	1933	1933	1933	1933	1933	1458	1	0	0	0	0	0	0	0	1
239.1	Coaltit	1830	15	4	11	NA	5	11	9	9	3	3	1679	1961	NA	1961	1856	1856	1385	1385	1385	1	1	NA	0	1	0	1	0	0
NA.30	Coaltit	1940	62	23	22	16	17	26	22	16	16	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
240.1	Coaltit	1090	82	59	65	59	47	53	61	61	58	66	1678	1678	1678	2018	2018	2018	2018	2018	2018	1	0	0	1	0	0	0	0	0
