"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","NUTS",1,125,2000,0.610715431563141,0.5,0.310232222102281,14.32,15,2.33731963219904,"diag_e","growth2"
"2","NUTS",1,125,2000,0.893471646441645,0.7,0.183592808726398,20.152,15,7.47962838922101,"diag_e","growth2"
"3","NUTS",1,125,2000,0.924871682704498,0.8,0.178446290865361,24.168,31,7.91823682864275,"diag_e","growth2"
"4","NUTS",1,125,2000,0.961366002557212,0.9,0.125540129489581,30.984,31,0.505964425626941,"diag_e","growth2"
"5","NUTS",1,125,2000,0.956200571863097,0.95,0.142544633537265,30.792,31,1.81329093750121,"diag_e","growth2"
"6","NUTS",2,125,2000,0.32270202629856,0.5,0.392920047112351,7.908,7,3.24284628868715,"diag_e","growth2"
"7","NUTS",2,125,2000,0.851233383812009,0.7,0.215916679665678,15.384,15,2.4500094992768,"diag_e","growth2"
"8","NUTS",2,125,2000,0.916191072034305,0.8,0.187603460399644,19.176,15,7.03039475779635,"diag_e","growth2"
"9","NUTS",2,125,2000,0.945682342474464,0.9,0.169633925008462,27.224,31,6.79735448744789,"diag_e","growth2"
"10","NUTS",2,125,2000,0.95895011208139,0.95,0.129504163961053,30.984,31,0.505964425626941,"diag_e","growth2"
"11","NUTS",3,125,2000,0.55608115504609,0.5,0.322481977663803,13.652,15,3.29024645303687,"diag_e","growth2"
"12","NUTS",3,125,2000,0.876585848077266,0.7,0.230886826951456,15.08,15,1.12910357136751,"diag_e","growth2"
"13","NUTS",3,125,2000,0.927489927987226,0.8,0.183468289165276,21.192,15,7.79691784796582,"diag_e","growth2"
"14","NUTS",3,125,2000,0.959675729731337,0.9,0.138413282845445,30.936,31,1.59951944735363,"diag_e","growth2"
"15","NUTS",3,125,2000,0.977339649262176,0.95,0.100265651006105,34.104,31,9.47538743096909,"diag_e","growth2"
