"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,15,0.5,0.0399999999999636,0.25,12.5543260325031,15.1234368740433,2000,12.3519817482007,NA,NA,50.2173041300123,43.2907794224298,0.289999999999964,"growth2"
"2","stan.nuts",1,25,0.8,0.952,1.54,377.48058362609,1040.77100683157,2000,401.006156984437,"diag_e",0.11521190921345,245.117262094864,151.476959721545,2.492,"growth2"
"3","jags",2,15,0.5,0.0399999999999636,0.230000000000473,20.5091243670075,25.4880021378471,2000,28.9676617630685,NA,NA,89.1701059433276,75.9597198776828,0.270000000000437,"growth2"
"4","stan.nuts",2,25,0.8,0.943,1.579,456.086788099906,996.951250809273,2000,530.85942845167,"diag_e",0.112063487461312,288.845337618687,180.843294250558,2.522,"growth2"
"5","jags",3,15,0.5,0.0299999999997453,0.239999999999782,10.0717640233791,11.7341424643271,2000,14.423497821308,NA,NA,41.9656834307844,37.3028297162842,0.269999999999527,"growth2"
"6","stan.nuts",3,25,0.8,1.063,2.031,576.2168102005,931.137431547549,2000,683.456598494991,"diag_e",0.0895949988469563,283.710886361644,186.236848804299,3.094,"growth2"
"7","jags",1,25,0.5,0.0600000000004002,0.480000000000473,32.6127906073532,52.084151960855,2000,31.2475809084892,NA,NA,67.9433137652522,60.3940566801861,0.540000000000873,"growth2"
"8","stan.nuts",1,45,0.8,1.313,2.082,582.541805500872,1408.66095387217,2000,558.416985659767,"diag_e",0.165182084606596,279.799138088795,171.588160677724,3.395,"growth2"
"9","jags",2,25,0.5,0.0600000000004002,0.450000000000728,15.7277382446343,43.7030803079944,2000,28.9898910019741,NA,NA,34.9505294324641,30.8387024403911,0.510000000001128,"growth2"
"10","stan.nuts",2,45,0.8,1.314,2.206,494.976611104092,1454.07108976305,2000,551.375572335983,"diag_e",0.157506588875705,224.377430237576,140.618355427299,3.52,"growth2"
"11","jags",3,25,0.5,0.0600000000004002,0.460000000000036,38.0942005553771,62.7572605521384,2000,37.0787187043659,NA,NA,82.8134794682045,73.2580779910483,0.520000000000437,"growth2"
"12","stan.nuts",3,45,0.8,1.282,2.297,429.688271566369,1585.16769671278,2000,563.329022924715,"diag_e",0.157237790734465,187.064985444653,120.058192670123,3.579,"growth2"
"13","jags",1,105,0.5,0.239999999999782,2.28999999999996,22.9019775751674,144.794605305238,2000,27.6841420493769,NA,NA,10.0008635699422,9.05216504947417,2.52999999999975,"growth2"
"14","stan.nuts",1,205,0.8,7.847,11.363,241.939817249248,2000,2000,248.367814563769,"diag_e",0.157668500801947,21.2918962641247,12.5944725272904,19.21,"growth2"
"15","jags",2,105,0.5,0.239999999999782,2.11999999999989,40.0776137322421,246.132263363455,2000,43.8459417786184,NA,NA,18.9045347793604,16.9820397170541,2.35999999999967,"growth2"
"16","stan.nuts",2,205,0.8,8.076,12.166,203.222224371124,2000,2000,252.724697331777,"diag_e",0.131735982703916,16.7041118174522,10.0396316752852,20.242,"growth2"
"17","jags",3,105,0.5,0.240000000000691,2.15999999999985,26.782266070679,264.188337479407,2000,45.1702214867083,NA,NA,12.3991972549448,11.1592775294471,2.40000000000055,"growth2"
"18","stan.nuts",3,205,0.8,6.702,10.824,302.049749427054,2000,2000,314.463143759728,"diag_e",0.164328813902438,27.9055570424108,17.2343803165043,17.526,"growth2"
