"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,66,0.5,0.269999999999982,0.940000000000055,5.42379791918689,82.2724775472639,200,2.62143152981378,0.995036136931953,1.42346020920596,1.00644758589629,NA,NA,5.7699977863687,4.48247761916258,1.21000000000004,"growth_nc2"
"2","stan.nuts",1,66,0.5,3.987,8.102,19.840276689391,200,200,16.7210975447751,0.994987989218435,1.03246100291467,0.998186398555307,"diag_e",0.0135961907062122,2.44881223023834,1.64118427408313,12.089,"growth_nc2"
"3","stan.nuts",1,66,0.7,6.776,5.269,36.3585829828533,200,200,27.7657050208951,0.995002531718008,1.01816121211771,0.997510836931549,"diag_e",0.00986012754306526,6.90047124366167,3.01856230658807,12.045,"growth_nc2"
"4","stan.nuts",1,66,0.8,5.89,10.617,22.4055507952351,158.978099954742,200,13.8874974702872,0.994987634648543,1.04560368441297,0.997546725700081,"diag_e",0.00806119679623269,2.11034668882312,1.35733632975314,16.507,"growth_nc2"
"5","stan.nuts",1,66,0.9,4.85,8.262,10.477167791328,173.101496840252,200,10.3120243961009,0.99498796265886,1.05444323968914,0.997866701027237,"diag_e",0.00843515592021815,1.26811520108061,0.799051844976207,13.112,"growth_nc2"
"6","stan.nuts",1,66,0.95,6.156,8.913,33.618625986073,200,200,24.5298733055914,0.99498859622019,1.07873360555481,0.998954852023264,"diag_e",0.00716920409250284,3.77186424167766,2.23097922795627,15.069,"growth_nc2"
"7","jags",2,66,0.5,0.25,0.950000000000045,12.1830104596303,85.2778743763937,200,6.78053635472168,0.994990282434835,1.06453115426087,1.0009561337193,NA,NA,12.8242215364523,10.1525087163582,1.20000000000005,"growth_nc2"
"8","stan.nuts",2,66,0.5,1.719,4.735,29.2649946995693,200,200,39.2213030255585,0.99499057058143,1.03937950081602,0.997427900491365,"diag_e",0.0137048675427478,6.18056910233775,4.53439645174609,6.454,"growth_nc2"
"9","stan.nuts",2,66,0.7,3.516,5.726,28.6865323233045,200,200,20.8297419641995,0.994988567866376,1.01693644491689,0.996539812698253,"diag_e",0.00978101773773321,5.00987291709824,3.10393121870856,9.242,"growth_nc2"
"10","stan.nuts",2,66,0.8,3.959,6.156,37.0398280287223,200,200,40.4258546866374,0.994988007923767,1.03042715616898,0.996615429311715,"diag_e",0.00893047915625968,6.01686615151434,3.66187128311639,10.115,"growth_nc2"
"11","stan.nuts",2,66,0.9,4.453,6.867,20.0789787141767,169.84270788792,200,24.156199281931,0.994987491654171,1.04686670984616,0.997185001975566,"diag_e",0.00814204507827676,2.92398117288141,1.77376137051031,11.32,"growth_nc2"
"12","stan.nuts",2,66,0.95,5.421,6.875,8.43539703969758,200,200,20.7349469818158,0.994997372549125,1.30293365554524,1.00048881328206,"diag_e",0.00829998238666756,1.22696684213783,0.686027735824461,12.296,"growth_nc2"
"13","jags",3,66,0.5,0.25,1.02999999999997,11.0331471492846,92.7220897884425,200,6.31984978664371,0.995005735224046,1.17476579254796,1.00449714797353,NA,NA,10.7117933488203,8.61964621037876,1.27999999999997,"growth_nc2"
"14","stan.nuts",3,66,0.5,1.767,4.811,16.4752083454836,58.8446610100983,200,23.880193041505,0.995002522657705,1.14422309423872,1.0092612133423,"diag_e",0.0147999385000716,3.42448728860603,2.504592329809,6.578,"growth_nc2"
"15","stan.nuts",3,66,0.7,3.386,5.266,33.7343456026649,200,200,29.3219203261738,0.994988103709814,1.01801605259022,0.997099245675021,"diag_e",0.0106075527594541,6.40606638865645,3.89902283895803,8.652,"growth_nc2"
"16","stan.nuts",3,66,0.8,4.048,7.236,22.3246507786296,200,200,19.1413831226919,0.994988014968155,1.0613021068896,0.997038153236037,"diag_e",0.00813385013830164,3.08521984226501,1.97843413493704,11.284,"growth_nc2"
"17","stan.nuts",3,66,0.9,5.247,8.04,40.6788051417212,152.841856390183,200,32.541656487039,0.995000409104399,1.06562630047428,0.999606802148016,"diag_e",0.0082067519991235,5.05955287832354,3.06154926934005,13.287,"growth_nc2"
"18","stan.nuts",3,66,0.95,4.566,11.311,29.1021259324558,194.272880648217,200,34.7689373484198,0.995004767220289,1.09922415687544,0.998795860342242,"diag_e",0.00742983796292477,2.5729047769831,1.83297385730653,15.877,"growth_nc2"
"19","jags",4,66,0.5,0.349999999999909,1.80999999999995,10.1027923997335,85.130793451122,200,9.08575864416991,0.995042457763719,1.05119379192336,1.0011572919877,NA,NA,5.58165325952146,4.67721870358065,2.15999999999985,"growth_nc2"
"20","stan.nuts",4,66,0.5,2.391,5.879,23.3017429443438,112.633191247825,200,32.1620176083374,0.994990719957085,1.04873665880434,0.997838769141007,"diag_e",0.0140666314764995,3.96355552718894,2.8176230887961,8.27,"growth_nc2"
"21","stan.nuts",4,66,0.7,3.579,6.035,31.4958799101106,200,200,44.3061076860915,0.994989562153777,1.02878441871774,0.996158876031079,"diag_e",0.0103706376451485,5.21886991054027,3.27604326088106,9.614,"growth_nc2"
"22","stan.nuts",4,66,0.8,5.5,6.674,26.7180131646855,200,200,33.184186960031,0.99498743863637,1.09196235917191,0.997790174327595,"diag_e",0.00861548553813887,4.00329834652165,2.19467826225444,12.174,"growth_nc2"
"23","stan.nuts",4,66,0.9,6.756,9.984,17.9220770946728,200,200,27.068102230105,0.994988849287961,1.0468105804482,0.99703226247099,"diag_e",0.00733249001974925,1.79507983720681,1.07061392441295,16.74,"growth_nc2"
"24","stan.nuts",4,66,0.95,4.895,7.622,10.56587425771,151.588951512661,200,11.1394664463363,0.995004344032696,1.16365150193842,1.0019014085282,"diag_e",0.00781943157788112,1.38623383071504,0.844121934785493,12.517,"growth_nc2"
"25","jags",5,66,0.5,0.269999999999982,0.960000000000036,11.3178601842939,79.2161313859484,200,5.90780795241063,0.99498814540158,1.35043894152982,1.00181737332934,NA,NA,11.7894376919724,9.20151234495426,1.23000000000002,"growth_nc2"
"26","stan.nuts",5,66,0.5,1.86,4.613,20.78336204182,89.1299941065417,200,23.5191645236887,0.994987804974955,1.06672858600826,1.00057958234516,"diag_e",0.0144200341990157,4.50538956033384,3.21077738943612,6.473,"growth_nc2"
"27","stan.nuts",5,66,0.7,3.821,6.08,30.1318253863269,200,200,32.2209264484333,0.994987442544453,1.01362075001952,0.997949595109584,"diag_e",0.00964531125065869,4.95589233327745,3.04331132070769,9.901,"growth_nc2"
"28","stan.nuts",5,66,0.8,5.32,5.728,25.5189740101227,200,200,30.8486019699646,0.994987441833978,1.11350731934542,0.998304653641041,"diag_e",0.00917118833832947,4.45512814422534,2.30982748100314,11.048,"growth_nc2"
"29","stan.nuts",5,66,0.9,5.276,10.628,30.9292673882072,173.622337561311,200,29.9620777551972,0.994987996242812,1.06851798838944,0.998515299018267,"diag_e",0.00792432560077526,2.91016817728709,1.94474769795065,15.904,"growth_nc2"
"30","stan.nuts",5,66,0.95,6.025,10.776,16.084254245521,200,200,16.5658495024499,0.994989591366734,1.02405397230131,0.996765152077927,"diag_e",0.00690331051513968,1.49259968870834,0.957339101572586,16.801,"growth_nc2"
"31","jags",6,66,0.5,0.279999999999973,0.979999999999791,6.76190710914534,81.2782635910825,200,5.07581730574222,0.994993661707274,1.27697422926053,0.999195758155175,NA,NA,6.89990521341509,5.36659294376715,1.25999999999976,"growth_nc2"
"32","stan.nuts",6,66,0.5,1.932,4.407,6.18496498394633,38.476944536481,200,3.70496083668138,0.995007385143617,1.6038841459745,1.0417598169899,"diag_e",0.0146027237195191,1.40344111276295,0.975700423402165,6.339,"growth_nc2"
"33","stan.nuts",6,66,0.7,3.74,6.503,37.8348705002183,200,200,43.1433918194358,0.994988609812263,1.04692390114875,0.997416500722601,"diag_e",0.00938917935866804,5.81806404739632,3.69372942499446,10.243,"growth_nc2"
"34","stan.nuts",6,66,0.8,5.369,14.308,27.9366724224978,153.424691689893,200,27.3007955762693,0.994989655205705,1.02599699159966,0.997049489905233,"diag_e",0.00810510973405591,1.95252113660175,1.4197627901864,19.677,"growth_nc2"
"35","stan.nuts",6,66,0.9,7.051,13.682,20.8259294309371,200,200,18.5672041931938,0.99498750377186,1.05548562428868,0.998110907450276,"diag_e",0.00771608709586097,1.52214072730135,1.00448219895515,20.733,"growth_nc2"
"36","stan.nuts",6,66,0.95,5.338,8.97,21.7911428730981,200,200,17.134361636745,0.994996703839583,1.0687357625908,0.997427473756383,"diag_e",0.00728357308509029,2.42933588328853,1.52300411469794,14.308,"growth_nc2"
