"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan.nuts",1,16,20000,0.74294447907419,0.8,0.136085237822206,0,0,28.1713,31,12.7476382684822,"diag_e","growth_nc"
"2","stan.nuts",2,16,20000,0.807893097975245,0.8,0.125777354838684,0,0,30.971,31,10.7318599339016,"diag_e","growth_nc"
"3","stan.nuts",3,16,20000,0.876509080815809,0.8,0.103579884280843,0,0,39.32375,31,15.9940465928364,"diag_e","growth_nc"
"4","stan.nuts",4,16,20000,0.874427797243712,0.8,0.10488842764822,0,0,38.31355,31,15.4111521820427,"diag_e","growth_nc"
"5","stan.nuts",5,16,20000,0.933317023575159,0.8,0.083246707093167,0,0,52.28445,63,17.1283363813553,"diag_e","growth_nc"
"6","stan.nuts",6,16,20000,0.887113703043782,0.8,0.102399044615409,0,0,40.12365,31,15.9707205182858,"diag_e","growth_nc"
"7","stan.nuts",7,16,20000,0.892581749671229,0.8,0.0990659554170895,0,0,41.78035,31,16.6436610891421,"diag_e","growth_nc"
"8","stan.nuts",8,16,20000,0.886204136124007,0.8,0.101946183213691,0,0,40.1443,31,16.5008603239216,"diag_e","growth_nc"
"9","stan.nuts",9,16,20000,0.847954902985546,0.8,0.114647161559936,0,0,34.4832,31,13.7230402554133,"diag_e","growth_nc"
"10","stan.nuts",10,16,20000,0.913419110091278,0.8,0.0927324379302241,0,0,45.97535,31,17.480950247586,"diag_e","growth_nc"
"11","stan.nuts",1,26,20000,0.933836150173746,0.8,0.126253808362181,0,0,32.698,31,8.18721854645253,"diag_e","growth_nc"
"12","stan.nuts",2,26,20000,0.925400631317124,0.8,0.132610516046454,0,0,31.8502,31,7.11711266066733,"diag_e","growth_nc"
"13","stan.nuts",3,26,20000,0.909195385576153,0.8,0.142523082319766,0,0,30.91375,31,6.23712722535794,"diag_e","growth_nc"
"14","stan.nuts",4,26,20000,0.925962532551262,0.8,0.129382099169114,0,0,32.2614,31,7.6872768098487,"diag_e","growth_nc"
"15","stan.nuts",5,26,20000,0.901660626477689,0.8,0.14657876881282,0,0,30.4634,31,6.05490656696507,"diag_e","growth_nc"
"16","stan.nuts",6,26,20000,0.924234222267003,0.8,0.132410808799927,0,0,32.005,31,7.32261265074165,"diag_e","growth_nc"
"17","stan.nuts",7,26,20000,0.906721029392579,0.8,0.143131831205089,0,0,30.787,31,5.85002069544261,"diag_e","growth_nc"
"18","stan.nuts",8,26,20000,0.911188686614719,0.8,0.139599757009228,0,0,31.2626,31,6.48749147338791,"diag_e","growth_nc"
"19","stan.nuts",9,26,20000,0.926881667504923,0.8,0.13084141458641,0,0,32.055,31,7.15882234986117,"diag_e","growth_nc"
"20","stan.nuts",10,26,20000,0.930287788046384,0.8,0.128620960443819,0,0,32.5078,31,7.86358893645567,"diag_e","growth_nc"
"21","stan.nuts",1,106,20000,0.913071425267333,0.8,0.139516737685746,0,0,33.8872,31,9.23443229965951,"diag_e","growth_nc"
"22","stan.nuts",2,106,20000,0.867045895285633,0.8,0.165214022323573,0,0,30.9648,31,1.34775805788321,"diag_e","growth_nc"
"23","stan.nuts",3,106,20000,0.923226547919795,0.8,0.130380416354333,0,0,40.5488,31,15.6446750158902,"diag_e","growth_nc"
"24","stan.nuts",4,106,20000,0.909248574651331,0.8,0.139199438065775,0,0,33.9528,31,9.35840537418407,"diag_e","growth_nc"
"25","stan.nuts",5,106,20000,0.931127928406199,0.8,0.123250612213929,0,0,48.1072,63,18.2538644768284,"diag_e","growth_nc"
"26","stan.nuts",6,106,20000,0.91623852934155,0.8,0.134655228488755,0,0,36.504,31,12.3862526602176,"diag_e","growth_nc"
"27","stan.nuts",7,106,20000,0.91440296794548,0.8,0.135722529404706,0,0,36.0024,31,11.8672926934408,"diag_e","growth_nc"
"28","stan.nuts",8,106,20000,0.909407616580019,0.8,0.139179727960086,0,0,33.8736,31,9.20327431151015,"diag_e","growth_nc"
"29","stan.nuts",9,106,20000,0.903441871380408,0.8,0.143478267388097,0,0,32.508,31,6.82725908204227,"diag_e","growth_nc"
"30","stan.nuts",10,106,20000,0.91501270675303,0.8,0.134972413231003,0,0,36.2832,31,12.2093427817618,"diag_e","growth_nc"
