"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",59189,66,0.5,65.2799999999988,186.550742357789,5617.16935139115,20000,206.23144664105,0.99995003267857,1.00456164922798,1.00007170419372,NA,NA,2.85770132288284,65.2799999999988,"growth_nc"
"2","stan.nuts",59189,66,0.8,71.8999999999942,3466.74239293272,20000,20000,3398.24850363561,0.999950109833742,1.00037644932868,0.99997809965677,"diag_e",0.14931699276098,48.2161668001809,71.8999999999942,"growth_nc"
"3","jags",33032,66,0.5,65.5,226.201454797712,5580.97163127488,20000,210.426301819775,0.999950002209272,1.00326148106724,1.00000485932595,NA,NA,3.45345732515591,65.5,"growth_nc"
"4","stan.nuts",33032,66,0.8,71.4499999999971,3203.9411532891,20000,20000,3542.15072504518,0.999950030925035,1.00141906776706,0.999983612579855,"diag_e",0.141310021096734,44.8417236289606,71.4499999999971,"growth_nc"
"5","jags",19139,66,0.5,65.4499999999971,191.312737373852,5426.21332881202,20000,255.519585141966,0.99995000246607,1.00127325654424,1.0000032165355,NA,NA,2.92303647630039,65.4499999999971,"growth_nc"
"6","stan.nuts",19139,66,0.8,72.2599999999948,3331.85297629921,20000,20000,3245.41090434632,0.999949998905302,1.00026539268759,0.999977046964978,"diag_e",0.120649206150292,46.1092302283345,72.2599999999948,"growth_nc"
"7","jags",78362,66,0.5,65.7099999999919,204.65195339042,5837.71849644637,20000,232.403777338448,0.999950042172602,1.00311410135783,1.00011571873521,NA,NA,3.11447197367898,65.7099999999919,"growth_nc"
"8","stan.nuts",78362,66,0.8,70.4400000000023,3417.612621418,20000,20000,3721.76433808861,0.999949998798207,1.00129263338799,0.999977489716264,"diag_e",0.13488802527373,48.5180667435816,70.4400000000023,"growth_nc"
"9","jags",61413,66,0.5,66,235.515065533886,5678.2971483837,20000,229.539386105151,0.999950007033147,1.00066407280771,1.00000329993667,NA,NA,3.56841008384676,66,"growth_nc"
"10","stan.nuts",61413,66,0.8,71.6800000000076,3189.76960591959,20000,20000,3514.10319603274,0.999950011165345,1.00058377864612,0.999980384186465,"diag_e",0.151087032934778,44.5001340111504,71.6800000000076,"growth_nc"
"11","jags",72018,66,0.5,65.5500000000029,174.592305037751,5496.80202076837,20000,236.043155615952,0.999950085179102,1.00379143101569,1.00015967043728,NA,NA,2.66349816991218,65.5500000000029,"growth_nc"
"12","stan.nuts",72018,66,0.8,73.8399999999965,2923.70028058325,20000,20000,3075.5591247569,0.999949998960627,1.00050747606474,0.999970564032486,"diag_e",0.112823947647072,39.5950742224186,73.8399999999965,"growth_nc"
"13","jags",66788,66,0.5,65.9700000000012,249.372423933636,5684.27027310207,20000,216.510216594945,0.999950026587354,1.00103909655148,0.999995007584055,NA,NA,3.78008828154664,65.9700000000012,"growth_nc"
"14","stan.nuts",66788,66,0.8,71.9799999999959,3384.32183564242,20000,20000,3384.12340447181,0.999950070398333,1.00046458794017,0.999990455312647,"diag_e",0.130979905093279,47.017530364582,71.9799999999959,"growth_nc"
"15","jags",19639,66,0.5,66.25,217.096892685369,6049.98301370374,20000,209.665639629548,0.999950052424788,1.00078080393236,1.00000805966093,NA,NA,3.27693422921312,66.25,"growth_nc"
"16","stan.nuts",19639,66,0.8,72.3399999999965,3403.00460588956,20000,20000,3426.57506276801,0.999950047238916,1.0004606573076,0.99996703284824,"diag_e",0.130324217438474,47.0418109744225,72.3399999999965,"growth_nc"
"17","jags",68716,66,0.5,65.6000000000058,244.214586547475,5528.11927304138,20000,227.503418677686,0.999950025248395,1.00352565560213,1.00008816383039,NA,NA,3.72278333151606,65.6000000000058,"growth_nc"
"18","stan.nuts",68716,66,0.8,71.0299999999988,3398.57445547765,20000,20000,3343.83240754992,0.999949998955966,1.00008855485201,0.999957270072317,"diag_e",0.124944287039678,47.8470287973772,71.0299999999988,"growth_nc"
"19","jags",34163,66,0.5,66.5400000000081,165.466904501382,5520.22667771672,20000,231.745955881587,0.999950003218609,1.01650147611215,1.00012784585976,NA,NA,2.48672835138807,66.5400000000081,"growth_nc"
