"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",1,16,0.5,11.0800000000017,216.609872670546,1218.03405284767,20000,211.170965012144,0.999949998935238,1.01878545866154,1.00033100453394,NA,NA,19.5496274973386,11.0800000000017,"growth_nc"
"2","stan.nuts",1,16,0.9,43.8300000000017,2768.75956702345,9762.20172709538,20000,2963.3593056528,0.999949999454131,1.0009806363258,0.999989480649529,"diag_e",0.0704601502752602,63.1704213329532,43.8300000000017,"growth_nc"
"3","jags",2,16,0.5,11.5900000000038,186.592621942222,901.207661832778,20000,171.889781141001,0.999953104949918,1.00789236344581,1.00018736110209,NA,NA,16.0994496930251,11.5900000000038,"growth_nc"
"4","stan.nuts",2,16,0.9,38.4599999999991,3297.47162065862,9057.87985230049,20000,3607.9159945528,0.999949998771653,1.00042087079691,0.999975577035403,"diag_e",0.0893110373610602,85.7376916447918,38.4599999999991,"growth_nc"
"5","jags",3,16,0.5,11.1200000000026,198.228563702455,1318.07419616645,20000,197.571705487542,0.999964279495277,1.00507945047228,1.00074216547677,NA,NA,17.8263096854684,11.1200000000026,"growth_nc"
"6","stan.nuts",3,16,0.9,35.7200000000012,1115.5690450696,8033.91414045524,20000,1379.88013217429,0.99995011545321,1.00068935279745,1.00000115192,"diag_e",0.100901164523423,31.2309363121378,35.7200000000012,"growth_nc"
"7","jags",4,16,0.5,11.1399999999994,156.232456596832,1254.50682011255,20000,174.641368832791,0.999952626670864,1.01241850081989,1.00008514718574,NA,NA,14.0244575042047,11.1399999999994,"growth_nc"
"8","stan.nuts",4,16,0.9,58.4399999999951,3695.20556997238,9447.36815556812,20000,3584.80297794935,0.999949998776279,1.00036136439354,0.999994824245321,"diag_e",0.0449602164146748,63.2307592397791,58.4399999999951,"growth_nc"
"9","jags",5,16,0.5,11.2200000000012,203.146789972372,1413.27513144713,20000,201.65704137046,0.99995524466252,1.01878340409733,1.00045026168564,NA,NA,18.1057745073397,11.2200000000012,"growth_nc"
"10","stan.nuts",5,16,0.9,45.4100000000035,3605.21022791505,11470.5619123852,20000,3822.64270171602,0.999951102433142,1.00048627908033,1.00002922749897,"diag_e",0.0723743828239441,79.3924295951282,45.4100000000035,"growth_nc"
