"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","NUTS",1,16,10000,0.871075430910223,0.8,0.120161501769735,30.844,31,9.58851666997488,"diag_e","growth_nct"
"2","NUTS",2,16,10000,0.950327043329106,0.8,0.0825204543501184,47.7248,63,17.0567069274887,"diag_e","growth_nct"
"3","NUTS",3,16,10000,0.907965463351338,0.8,0.10841170640227,34.3608,31,12.3828143076619,"diag_e","growth_nct"
"4","NUTS",4,16,10000,0.91776315616634,0.8,0.106190463193906,34.9016,31,12.5550724175005,"diag_e","growth_nct"
"5","NUTS",5,16,10000,0.915968677190667,0.8,0.101949853203867,36.9624,31,14.1346716986567,"diag_e","growth_nct"
"6","NUTS",6,16,10000,0.882713607147704,0.8,0.117003320594213,30.9924,31,9.52376410126434,"diag_e","growth_nct"
"7","NUTS",1,26,10000,0.921437497552603,0.8,0.135619238767779,29.6464,31,5.82780916914259,"diag_e","growth_nct"
"8","NUTS",2,26,10000,0.921974299677511,0.8,0.133634801169733,29.7376,31,6.17514151372605,"diag_e","growth_nct"
"9","NUTS",3,26,10000,0.930495054538855,0.8,0.128223987506858,30.6184,31,6.37144414556857,"diag_e","growth_nct"
"10","NUTS",4,26,10000,0.946454355815914,0.8,0.114838597151364,33.2944,31,9.57474092457621,"diag_e","growth_nct"
"11","NUTS",5,26,10000,0.953225197206172,0.8,0.109971710820619,34.1808,31,10.547452825788,"diag_e","growth_nct"
"12","NUTS",6,26,10000,0.928510839909454,0.8,0.129919488970491,30.4376,31,6.17829592267169,"diag_e","growth_nct"
"13","NUTS",1,106,10000,0.908555825584515,0.8,0.136710676693239,31.1728,31,2.87509885024493,"diag_e","growth_nct"
"14","NUTS",2,106,10000,0.898256991448548,0.8,0.142637860727568,30.9328,31,2.10968583321379,"diag_e","growth_nct"
"15","NUTS",3,106,10000,0.941932167960271,0.8,0.113972418627151,42.232,31,15.2879861493952,"diag_e","growth_nct"
"16","NUTS",4,106,10000,0.919014069848556,0.8,0.130212561039968,32.2832,31,6.45179997400577,"diag_e","growth_nct"
"17","NUTS",5,106,10000,0.923974729821605,0.8,0.125935661094088,33.448,31,8.61699173199684,"diag_e","growth_nct"
"18","NUTS",6,106,10000,0.932245278196279,0.8,0.121077187832374,36.1328,31,11.8356402714905,"diag_e","growth_nct"
"19","NUTS",1,206,10000,0.935280607740718,0.8,0.115611066040335,40.664,31,14.7768865216951,"diag_e","growth_nct"
"20","NUTS",2,206,10000,0.936485971304448,0.8,0.117586110912063,38.6032,31,13.6959580027511,"diag_e","growth_nct"
"21","NUTS",3,206,10000,0.904168018711411,0.8,0.140257585425775,31.0192,31,0.783679903301193,"diag_e","growth_nct"
"22","NUTS",4,206,10000,0.904467013625272,0.8,0.141796803875485,31.0096,31,0.87639115256286,"diag_e","growth_nct"
"23","NUTS",5,206,10000,0.918751256845619,0.8,0.131275385117727,31.3008,31,3.08820769465933,"diag_e","growth_nct"
"24","NUTS",6,206,10000,0.920916047538771,0.8,0.127444994306408,32.0304,31,5.7216101933495,"diag_e","growth_nct"
