"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,16,0.5,0.0400000000008731,4.5,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,38.8567205302093,38.5143705695833,4.54000000000087,"growth_nct"
"2","stan.nuts",1,16,0.8,4.844,9.046,1839.45262662056,5052.91234000806,10000,1976.39155643893,0.999900169852284,1.00129600399357,0.99995537550868,"diag_e",0.120161501769735,203.344309818767,132.429994717103,13.89,"growth_nct"
"3","jags",2,16,0.5,0.0499999999992724,4.5,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,38.8567205302093,38.429723601312,4.54999999999927,"growth_nct"
"4","stan.nuts",2,16,0.8,4.985,13.733,1896.01263605399,5353.77153661579,10000,1874.73271073602,0.999900076774482,1.00024218075373,0.999974019359811,"diag_e",0.0825204543501184,138.062523560328,101.293548245218,18.718,"growth_nct"
"5","jags",3,16,0.5,0.0299999999988358,4.43999999999869,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,39.3818113481967,39.1175038894941,4.46999999999753,"growth_nct"
"6","stan.nuts",3,16,0.8,4.829,10.094,1025.92910123462,4587.00011806471,10000,1012.93854228667,0.999901266712933,1.0012343637398,0.99997263197219,"diag_e",0.10841170640227,101.637517459344,68.7481807434578,14.923,"growth_nct"
"7","jags",4,16,0.5,0.0300000000024738,4.43999999999869,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,39.3818113481967,39.1175038894622,4.47000000000116,"growth_nct"
"8","stan.nuts",4,16,0.8,4.719,10.112,2022.88955164675,4491.90031750708,10000,1997.17664008319,0.99989999599995,1.00026807185859,0.999951957272759,"diag_e",0.106190463193906,200.04841293975,136.396032071118,14.831,"growth_nct"
"9","jags",5,16,0.5,0.0499999999992724,4.46000000000276,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,39.205211297272,38.7705637219208,4.51000000000204,"growth_nct"
"10","stan.nuts",5,16,0.8,5.224,10.668,1788.28469229914,4898.25678210243,10000,1989.33193253968,0.999900981493818,1.00038025605897,1.00005090262299,"diag_e",0.101949853203867,167.630736061037,112.527352900776,15.892,"growth_nct"
"11","jags",6,16,0.5,0.0499999999992724,4.45000000000073,174.855242385942,1031.64487187891,10000,175.055276778005,0.999909652465536,1.00110018269717,1.0000934318852,NA,NA,39.2933128957108,38.8567205302093,4.5,"growth_nct"
"12","stan.nuts",6,16,0.8,4.763,8.944,2163.19909821643,5306.02323327332,10000,2111.518085067,0.999903173050491,1.0002994960298,0.999995268590092,"diag_e",0.117003320594213,241.860364290746,157.817107916862,13.707,"growth_nct"
"13","jags",1,26,0.5,0.069999999999709,8.86999999999898,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.5565872681675,25.3564797615942,8.93999999999869,"growth_nct"
"14","stan.nuts",1,26,0.8,7.094,15.238,2226.09622575384,8014.23137868853,10000,2307.60904648804,0.999900157607492,1.00050767386446,0.999936472357719,"diag_e",0.135619238767779,146.088477868082,99.6819015651906,22.332,"growth_nct"
"15","jags",2,26,0.5,0.0600000000013097,8.79999999999927,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.7598783032543,25.585432174786,8.86000000000058,"growth_nct"
"16","stan.nuts",2,26,0.8,7.094,15.338,1958.30963726403,7942.88522274731,10000,2255.36021379262,0.999899998335866,1.00099446984069,0.999982031201381,"diag_e",0.133634801169733,127.676987694877,87.2998233445091,22.432,"growth_nct"
"17","jags",3,26,0.5,0.0600000000013097,8.82999999999811,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.6723588979239,25.4990921337046,8.88999999999942,"growth_nct"
"18","stan.nuts",3,26,0.8,6.878,15.672,2341.12110805816,7971.61823813335,10000,2397.72006545302,0.999901385218427,1.00164538085805,0.999929623855704,"diag_e",0.128223987506858,149.382408630561,103.819117873976,22.55,"growth_nct"
"19","jags",4,26,0.5,0.0600000000013097,8.90000000000146,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.47044146838,25.2998804764006,8.96000000000276,"growth_nct"
"20","stan.nuts",4,26,0.8,7.026,16.853,2330.11047146002,6513.48943751158,10000,2379.25037580814,0.999900035663622,1.00269928515654,1.00001436671904,"diag_e",0.114838597151364,138.260871741531,97.579901648311,23.879,"growth_nct"
"21","jags",5,26,0.5,0.069999999999709,8.88999999999942,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.4990921337046,25.2998804764109,8.95999999999913,"growth_nct"
"22","stan.nuts",5,26,0.8,7.032,17.719,2303.28117636774,6283.58993161897,10000,2343.43235815375,0.999900379220914,1.00054012026041,0.999937132718993,"diag_e",0.109971710820619,129.989343437425,93.0581057883616,24.751,"growth_nct"
"23","jags",6,26,0.5,0.0799999999981083,8.92000000000189,226.686929068619,2018.29709150674,10000,216.2560216904,0.999901491246796,1.01949065417347,1.00035889351113,NA,NA,25.413332855221,25.1874365631799,9,"growth_nct"
"24","stan.nuts",6,26,0.8,6.986,15.597,2620.18466114921,7253.76876341413,10000,2496.9699912746,0.999900836694584,1.00031488842307,0.999951842460859,"diag_e",0.129919488970491,167.992861521396,116.02464956601,22.583,"growth_nct"
"25","jags",1,106,0.5,0.299999999999272,55.2200000000012,242.935265394909,2505.13477315991,10000,203.012677263812,0.999900126986829,1.00256419748897,1.00006485149305,NA,NA,4.39940719657559,4.37563518362585,55.5200000000004,"growth_nct"
"26","stan.nuts",1,106,0.8,41.19,71.553,1902.9772281395,10000,10000,1860.73792213448,0.999899996116561,1.00087141507186,0.999943258937975,"diag_e",0.136710676693239,26.5953520906111,16.8788947264087,112.743,"growth_nct"
"27","jags",2,106,0.5,0.279999999998836,55.25,242.935265394909,2505.13477315991,10000,203.012677263812,0.999900126986829,1.00256419748897,1.00006485149305,NA,NA,4.3970183781884,4.3748472068236,55.5299999999988,"growth_nct"
"28","stan.nuts",2,106,0.8,39.883,71.217,1823.57067974366,10000,10000,1775.37773987057,0.999900014226308,1.00097495878745,0.999946246163508,"diag_e",0.142637860727568,25.6058339967094,16.4137774954424,111.1,"growth_nct"
"29","jags",3,106,0.5,0.299999999999272,55.8900000000031,242.935265394909,2505.13477315991,10000,203.012677263812,0.999900126986829,1.00256419748897,1.00006485149305,NA,NA,4.34666783673101,4.32346085415375,56.1900000000023,"growth_nct"
"30","stan.nuts",3,106,0.8,41.288,96.055,1851.00139966241,8876.73501253837,10000,1953.05812100021,0.999900163703428,1.00224897381224,0.999975329427938,"diag_e",0.113972418627151,19.2702243471179,13.4772168924693,137.343,"growth_nct"
"31","jags",4,106,0.5,0.279999999998836,56.4300000000003,242.935265394909,2505.13477315991,10000,203.012677263812,0.999900126986829,1.00256419748897,1.00006485149305,NA,NA,4.30507292920269,4.2838170586301,56.7099999999991,"growth_nct"
"32","stan.nuts",4,106,0.8,39.206,74.339,1868.86256999904,10000,10000,1871.40014186374,0.999900030455405,1.0003553773731,0.999944326594379,"diag_e",0.130212561039968,25.1397324419085,16.4592238319524,113.545,"growth_nct"
"33","jags",5,106,0.5,0.279999999998836,56.1700000000019,242.935265394909,2505.13477315991,10000,203.012677263812,0.999900126986829,1.00256419748897,1.00006485149305,NA,NA,4.32500027407693,4.30354765978576,56.4500000000007,"growth_nct"
"34","stan.nuts",5,106,0.8,40.766,76.766,1757.17235427984,10000,10000,1746.021095991,0.999900008221674,1.00153379007159,0.99996839924542,"diag_e",0.125935661094088,22.8899819487773,14.9505866851567,117.532,"growth_nct"
