"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",59189,66,0.5,35.69,84.2700360962465,294.79201839988,20000,127.311978119312,0.999957209423804,1.00324090927209,1.0009508432629,NA,NA,2.36116660398561,35.69,"growth"
"2","stan.nuts",59189,66,0.8,56.21,175.228683375042,1026.18027043361,20000,425.7055203888,0.999950312858633,1.01189477077127,1.00026823733844,"diag_e",0.172062871232982,3.1173934064231,56.21,"growth"
"3","jags",33032,66,0.5,33.33,59.5852484695886,416.840036900387,20000,152.43915971676,0.999949998921047,1.03250789620985,1.00063173935813,NA,NA,1.78773622771043,33.33,"growth"
"4","stan.nuts",33032,66,0.8,63.36,380.922125414982,1539.13115716875,20000,483.792547361707,0.999951694552682,1.00261788025036,1.00026580636216,"diag_e",0.140876850923113,6.01202849455464,63.36,"growth"
"5","jags",19139,66,0.5,33.61,141.903735967528,341.870272649272,20000,146.998390131749,0.99995067101112,1.00257854253503,1.00104235247552,NA,NA,4.22206890709693,33.61,"growth"
"6","stan.nuts",19139,66,0.8,52.15,454.001582334625,1325.17894876694,20000,540.330975991407,0.999950148123009,1.0011324940998,1.00011701792169,"diag_e",0.199527750666654,8.70568710133509,52.15,"growth"
"7","jags",78362,66,0.5,33.1899999999999,180.869056631582,476.783601111567,20000,165.592147724086,0.999951640131828,1.00899288503619,1.00156772616617,NA,NA,5.44950456859243,33.1899999999999,"growth"
"8","stan.nuts",78362,66,0.8,54.9499999999999,460.595969464869,1557.98642158529,20000,706.609032367581,0.999950101606885,1.00667051116409,1.00110243244111,"diag_e",0.189526076156785,8.38209225595759,54.9499999999999,"growth"
"9","jags",61413,66,0.5,33.3199999999999,128.595023958663,338.924959944124,20000,190.773140296925,0.999950363502739,1.00117400622267,1.00007747564819,NA,NA,3.85939447655051,33.3199999999999,"growth"
"10","stan.nuts",61413,66,0.8,58.4699999999999,153.031729187721,1041.7312972487,20000,313.934148240727,0.999950593109262,1.00927333067877,1.00257209730875,"diag_e",0.187969700474038,2.61726918398702,58.4699999999999,"growth"
