"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","NUTS",1,66,10000,0.635703578324722,0.5,0.294535170515895,9.9528,7,4.03943505543949,"diag_e","growth_t"
"2","NUTS",1,66,10000,0.88326598242754,0.7,0.181862417691953,18.1952,15,6.89871114071901,"diag_e","growth_t"
"3","NUTS",1,66,10000,0.88030030867591,0.8,0.150950074953609,20.704,15,8.20708567343184,"diag_e","growth_t"
"4","NUTS",1,66,10000,0.812939170722028,0.9,0.162426668661948,18.8406,15,9.07385577424076,"diag_e","growth_t"
"5","NUTS",1,66,10000,0.926812533483518,0.95,0.13249274625598,26.6864,31,10.2761653818431,"diag_e","growth_t"
"6","NUTS",2,66,10000,0.530168726817173,0.5,0.309451496403546,9.1862,7,4.17605285448936,"diag_e","growth_t"
"7","NUTS",2,66,10000,0.932058480812047,0.7,0.125919458685987,27.4784,31,11.2114705928603,"diag_e","growth_t"
"8","NUTS",2,66,10000,0.851931132498089,0.8,0.167434802962529,18.8108,15,7.75109148725834,"diag_e","growth_t"
"9","NUTS",2,66,10000,0.899388699072349,0.9,0.14845729158598,22.1312,15,8.54104071148751,"diag_e","growth_t"
"10","NUTS",2,66,10000,0.953820160126747,0.95,0.103865939482758,34.6608,31,14.5434261991156,"diag_e","growth_t"
"11","NUTS",3,66,10000,0.803927838342922,0.5,0.214953696044094,15.445,15,7.10750858850463,"diag_e","growth_t"
"12","NUTS",3,66,10000,0.796954764922432,0.7,0.20657771525892,15.7512,15,6.72856249660016,"diag_e","growth_t"
"13","NUTS",3,66,10000,0.820626549188872,0.8,0.186047306120752,17.1348,15,7.36746122195234,"diag_e","growth_t"
"14","NUTS",3,66,10000,0.827981873508732,0.9,0.151948523348086,20.4434,15,8.98506219836801,"diag_e","growth_t"
"15","NUTS",3,66,10000,0.936411078852051,0.95,0.126177732491755,29.112,31,11.6688426323126,"diag_e","growth_t"
"16","NUTS",4,66,10000,0.588878604473998,0.5,0.308745615564379,9.57,7,5.63643982410689,"diag_e","growth_t"
"17","NUTS",4,66,10000,0.864570490975623,0.7,0.178013037768293,18.42,15,7.197274494698,"diag_e","growth_t"
"18","NUTS",4,66,10000,0.862521169897427,0.8,0.168125505514582,18.7272,15,7.41181267662848,"diag_e","growth_t"
"19","NUTS",4,66,10000,0.936074825232637,0.9,0.118883529879389,29.6048,31,12.4678669587584,"diag_e","growth_t"
"20","NUTS",4,66,10000,0.947691302461602,0.95,0.120681915787922,31.0704,31,12.9591292780931,"diag_e","growth_t"
"21","NUTS",5,66,10000,0.530007498969533,0.5,0.332027403364913,8.6062,7,5.42160495794963,"diag_e","growth_t"
"22","NUTS",5,66,10000,0.660072456785704,0.7,0.240742012479977,12.7996,15,6.73074293225377,"diag_e","growth_t"
"23","NUTS",5,66,10000,0.858133855256923,0.8,0.171668359915186,19.0224,15,7.67568117213653,"diag_e","growth_t"
"24","NUTS",5,66,10000,0.908092428129799,0.9,0.143417766279913,22.7008,15,8.57990689462678,"diag_e","growth_t"
"25","NUTS",5,66,10000,0.950882322131957,0.95,0.110370279193068,32.3984,31,13.6704737961331,"diag_e","growth_t"
"26","NUTS",6,66,10000,0.57200301688371,0.5,0.325201402180497,9.4276,7,3.99168447512949,"diag_e","growth_t"
"27","NUTS",6,66,10000,0.805682922599742,0.7,0.213003587486108,15.8742,15,6.62820948614318,"diag_e","growth_t"
"28","NUTS",6,66,10000,0.82808230588613,0.8,0.177893895799028,18.2276,15,7.5596843853167,"diag_e","growth_t"
"29","NUTS",6,66,10000,0.922814438993154,0.9,0.133653969225558,26.64,31,9.84317924430553,"diag_e","growth_t"
"30","NUTS",6,66,10000,0.959424050130786,0.95,0.103253280566544,35.4992,31,14.3740920500897,"diag_e","growth_t"
