"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,16,0.5,0.0499999999992724,2.95000000000073,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.7093083978495,39.0474865912284,3,"growth_t"
"2","stan.nuts",1,16,0.8,2.828,6.079,1077.39183982199,1598.04632891988,10000,1329.07747082524,0.99991318074314,1.00138579176305,1.00062875649898,"diag_e",0.138355945496004,177.231755193616,120.960125723812,8.907,"growth_t"
"3","jags",2,16,0.5,0.0299999999988358,2.94000000000051,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.8443740726751,39.4419056477141,2.96999999999935,"growth_t"
"4","stan.nuts",2,16,0.8,2.766,4.939,802.318917262011,970.510301859341,10000,885.300931319789,1.0000031384551,1.00205517132681,1.00105623578294,"diag_e",0.165862260193338,162.445620016605,104.129645329268,7.705,"growth_t"
"5","jags",3,16,0.5,0.0499999999992724,2.94000000000051,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.8443740726751,39.1780801918708,2.98999999999978,"growth_t"
"6","stan.nuts",3,16,0.8,2.891,7.453,569.217812916879,1276.01820056648,10000,1166.97823847831,0.999908411347023,1.00172600141283,1.00001878764925,"diag_e",0.11333854011271,76.3743207992592,55.0287908852358,10.344,"growth_t"
"7","jags",4,16,0.5,0.0500000000010914,2.93000000000029,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.9803616974995,39.3095502596076,2.98000000000138,"growth_t"
"8","stan.nuts",4,16,0.8,2.901,5.281,424.109765718739,926.899267556405,10000,577.860261778445,0.999903475465588,1.0031037175945,1.00139801466807,"diag_e",0.166827072087867,80.3086093010299,51.8344861548202,8.182,"growth_t"
"9","jags",5,16,0.5,0.0499999999992724,2.93999999999869,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.8443740726997,39.1780801918946,2.98999999999796,"growth_t"
"10","stan.nuts",5,16,0.8,3,9.266,1278.50648695886,1692.52131754322,10000,1303.01162905306,0.999902348431712,1.0027050904566,1.00084749070756,"diag_e",0.0938667751286012,137.978252423792,104.231737074748,12.266,"growth_t"
"11","jags",6,16,0.5,0.0400000000008731,3,117.142459773685,166.481491714837,10000,127.253669546793,0.999926316640572,1.00147688320458,1.00038320016647,NA,NA,39.0474865912284,38.5337038729117,3.04000000000087,"growth_t"
"12","stan.nuts",6,16,0.8,3,6.735,608.599661749138,1116.30493437338,10000,1106.90981144407,0.999900651459102,1.00320557809827,1.00045266915607,"diag_e",0.129761725988292,90.3637211208816,62.5166576013496,9.735,"growth_t"
"13","jags",1,26,0.5,0.0799999999999272,5.47999999999956,154.682165955188,266.398573556271,10000,193.059650793938,0.999900024266066,1.00214703295965,1.00027247416541,NA,NA,28.226672619562,27.8205334451802,5.55999999999949,"growth_t"
"14","stan.nuts",1,26,0.8,4.297,9.45,811.208888419232,1147.66397617722,10000,915.50513837504,0.999899995602365,1.00235962183882,1.00013706608822,"diag_e",0.171688878540995,85.8422104147336,59.0098849508425,13.747,"growth_t"
"15","jags",2,26,0.5,0.0599999999994907,5.52000000000044,154.682165955188,266.398573556271,10000,193.059650793938,0.999900024266066,1.00214703295965,1.00027247416541,NA,NA,28.0221315136187,27.7208182715394,5.57999999999993,"growth_t"
