"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","NUTS",1,5,2000,0.0132339537489623,0.2,1.0248920384177,1.585,1,0.833948721727224,"diag_e","mvn"
"2","NUTS",1,5,2000,0.0850153012822001,0.2,0.199003962833505,4.467,3,1.91221535595957,"dense_e","mvn"
"3","NUTS",1,5,2000,0.773072124902463,0.5,0.431939405607233,7.044,7,4.12299200375929,"diag_e","mvn"
"4","NUTS",1,5,2000,0.32815376466187,0.5,6.65265023330526e-07,2043.711,2047,50.9550969079728,"dense_e","mvn"
"5","NUTS",1,5,2000,0.869905580344099,0.7,0.330215963991463,8.804,7,4.72693642097373,"diag_e","mvn"
"6","NUTS",1,5,2000,0.646634562914428,0.7,9.40753231833392e-09,2047,2047,0,"dense_e","mvn"
"7","NUTS",1,5,2000,0.931404503269282,0.8,0.260640089846082,11.694,15,6.05367747827806,"diag_e","mvn"
"8","NUTS",1,5,2000,0.820870143441226,0.8,1.04435591817345e-07,2046.488,2047,16.1908616200621,"dense_e","mvn"
"9","NUTS",1,5,2000,0.947972252644173,0.9,0.231680858276813,13.52,15,7.58545576344224,"diag_e","mvn"
"10","NUTS",1,5,2000,0.857068325662752,0.9,1.06849800080952e-11,2047,2047,0,"dense_e","mvn"
"11","NUTS",1,5,2000,0.945702735935883,0.95,0.228907681978694,13.706,15,7.75097681854627,"diag_e","mvn"
"12","NUTS",1,5,2000,0.535942817148193,0.95,9.88495656438211e-19,1950.428,2047,290.083762740015,"dense_e","mvn"
"13","NUTS",2,5,2000,0.0205979948154377,0.2,0.926959836433821,1.566,1,0.851098330610728,"diag_e","mvn"
"14","NUTS",2,5,2000,0.151512657851492,0.2,3.98169000354749e-06,1934.93,2047,285.171920293924,"dense_e","mvn"
"15","NUTS",2,5,2000,0.224736207658833,0.5,0.58215064604398,3.17,3,1.91488035312047,"diag_e","mvn"
"16","NUTS",2,5,2000,0.546675695598302,0.5,7.44467726160882e-08,2047,2047,0,"dense_e","mvn"
"17","NUTS",2,5,2000,0.881047303907602,0.7,0.31399266799886,9.192,7,4.87964619075471,"diag_e","mvn"
"18","NUTS",2,5,2000,0.74161328206892,0.7,2.70980299234817e-08,2047,2047,0,"dense_e","mvn"
"19","NUTS",2,5,2000,0.937759452986272,0.8,0.252329885423139,12.35,15,6.26647977486314,"diag_e","mvn"
"20","NUTS",2,5,2000,0.826069277201931,0.8,1.49125428305292e-10,2047,2047,0,"dense_e","mvn"
"21","NUTS",2,5,2000,0.93886502585334,0.9,0.227349590827149,12.68,15,7.41623897946935,"diag_e","mvn"
"22","NUTS",2,5,2000,0.909568376018397,0.9,3.56265830662105e-10,2047,2047,0,"dense_e","mvn"
"23","NUTS",2,5,2000,0.948382109565617,0.95,0.213881909164445,13.67,15,7.86644652819689,"diag_e","mvn"
"24","NUTS",2,5,2000,0.857229017547281,0.95,8.62755439341133e-10,2047,2047,0,"dense_e","mvn"
"25","NUTS",3,5,2000,0.0326958783405945,0.2,0.879650750277351,1.679,1,0.911476708308989,"diag_e","mvn"
"26","NUTS",3,5,2000,0.146903039162729,0.2,8.76329071693275e-05,1083.583,1023,346.22743182126,"dense_e","mvn"
"27","NUTS",3,5,2000,0.681905117411055,0.5,0.447193461234715,6.366,7,3.90708450245312,"diag_e","mvn"
"28","NUTS",3,5,2000,0.428985610345902,0.5,2.55520054141713e-08,2047,2047,0,"dense_e","mvn"
"29","NUTS",3,5,2000,0.859546056206202,0.7,0.382173105397486,8.71,7,4.79571672421327,"diag_e","mvn"
"30","NUTS",3,5,2000,0.783611094567603,0.7,1.22109348603988e-09,2047,2047,0,"dense_e","mvn"
"31","NUTS",3,5,2000,0.922900893659737,0.8,0.250439019968671,10.708,11,5.28456835159341,"diag_e","mvn"
"32","NUTS",3,5,2000,0.851768133087662,0.8,4.36176303638269e-09,2047,2047,0,"dense_e","mvn"
"33","NUTS",3,5,2000,0.933190477593791,0.9,0.251648022591776,11.382,15,5.77472280057003,"diag_e","mvn"
"34","NUTS",3,5,2000,0.929093594802965,0.9,4.36982531550286e-10,2047,2047,0,"dense_e","mvn"
"35","NUTS",3,5,2000,0.960005878224197,0.95,0.193039251560457,15.142,15,8.69640520350009,"diag_e","mvn"
"36","NUTS",3,5,2000,0.784162806134607,0.95,3.75574518621951e-21,2047,2047,0,"dense_e","mvn"
"37","NUTS",4,5,2000,0.0142105318692853,0.2,1.02319347368405,1.629,1,0.84739428666771,"diag_e","mvn"
"38","NUTS",4,5,2000,0.140757183559535,0.2,3.73030002645324e-05,1145.272,1087,312.744847048445,"dense_e","mvn"
"39","NUTS",4,5,2000,0.490687828966302,0.5,0.500990230004558,5.298,7,3.24310248276457,"diag_e","mvn"
"40","NUTS",4,5,2000,0.363660274982894,0.5,5.22226426847363e-05,704.888,511,387.319015122516,"dense_e","mvn"
"41","NUTS",4,5,2000,0.882987781273007,0.7,0.29833457122221,9.394,8,4.99376628424896,"diag_e","mvn"
"42","NUTS",4,5,2000,0.736038767726893,0.7,4.94284361500347e-10,2047,2047,0,"dense_e","mvn"
"43","NUTS",4,5,2000,0.918290546949586,0.8,0.271149224736097,10.268,11,5.29265417235891,"diag_e","mvn"
"44","NUTS",4,5,2000,0.833766983918251,0.8,2.65381869538995e-10,2047,2047,0,"dense_e","mvn"
"45","NUTS",4,5,2000,0.938455109561895,0.9,0.228842624933542,12.844,15,7.66932086188096,"diag_e","mvn"
"46","NUTS",4,5,2000,0.840254193424266,0.9,6.0031395996824e-11,2047,2047,0,"dense_e","mvn"
"47","NUTS",4,5,2000,0.939535847741609,0.95,0.225709058336724,12.38,15,6.97195870671996,"diag_e","mvn"
"48","NUTS",4,5,2000,0.919717705863377,0.95,4.98196284311561e-12,2047,2047,0,"dense_e","mvn"
"49","NUTS",5,5,2000,0.0649578578695293,0.2,0.784766663965225,1.866,1,1.0222959889822,"diag_e","mvn"
"50","NUTS",5,5,2000,0.0922717857529197,0.2,3.46793339918929e-06,1415.14,1535,649.723216961391,"dense_e","mvn"
"51","NUTS",5,5,2000,0.639058822542882,0.5,0.504866259080932,5.902,7,3.41204308853772,"diag_e","mvn"
"52","NUTS",5,5,2000,0.415389440134492,0.5,3.52870208147232e-08,2047,2047,0,"dense_e","mvn"
"53","NUTS",5,5,2000,0.88426734462377,0.7,0.330778916027692,8.916,7,4.81997678170509,"diag_e","mvn"
"54","NUTS",5,5,2000,0.639303012473299,0.7,1.20687930384647e-09,2047,2047,0,"dense_e","mvn"
"55","NUTS",5,5,2000,0.892497265765152,0.8,0.296858913995222,9.734,11,4.93818080163431,"diag_e","mvn"
"56","NUTS",5,5,2000,0.85871423729852,0.8,1.75867960444146e-09,2047,2047,0,"dense_e","mvn"
"57","NUTS",5,5,2000,0.937340834419812,0.9,0.251839362168401,12.322,15,6.99208160744747,"diag_e","mvn"
"58","NUTS",5,5,2000,0.561454674388733,0.9,5.94194105423092e-20,2047,2047,0,"dense_e","mvn"
"59","NUTS",5,5,2000,0.931414502226619,0.95,0.255210155110881,11.53,15,6.14694109983859,"diag_e","mvn"
"60","NUTS",5,5,2000,0.766940303742373,0.95,3.23362792920129e-22,2047,2047,0,"dense_e","mvn"
"61","NUTS",6,5,2000,0.0266228943606964,0.2,0.861955297886762,1.593,1,0.888898836280677,"diag_e","mvn"
"62","NUTS",6,5,2000,0.0761632679892986,0.2,6.16332869918531e-08,1154.011,972,651.864255721149,"dense_e","mvn"
"63","NUTS",6,5,2000,0.680419566205957,0.5,0.468501647100282,6.476,7,3.82152169011613,"diag_e","mvn"
"64","NUTS",6,5,2000,0.440767997606682,0.5,1.28853780716815e-09,2047,2047,0,"dense_e","mvn"
