"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","lambda","L","model"
"1","NUTS",1,5,200,0.150953134281516,0.3,0.385347143583619,3,3,1.33333333333333,"diag_e",NA,NA,"mvn"
"2","NUTS",1,5,200,0.150953134281516,0.3,0.385347143583619,3,3,1.33333333333333,"dense_e",NA,NA,"mvn"
"3","NUTS",1,5,200,0.5587204642258,0.5,0.285192730313457,21.46,23,11.0164431738207,"diag_e",NA,NA,"mvn"
"4","NUTS",1,5,200,0.5587204642258,0.5,0.285192730313457,21.46,23,11.0164431738207,"dense_e",NA,NA,"mvn"
"5","NUTS",1,5,200,0.916206421926013,0.8,0.171708304670084,37.16,31,19.5622394454524,"diag_e",NA,NA,"mvn"
"6","NUTS",1,5,200,0.916206421926013,0.8,0.171708304670084,37.16,31,19.5622394454524,"dense_e",NA,NA,"mvn"
"7","NUTS",1,5,200,0.935889257075525,0.95,0.137458033127573,40.08,31,23.1069887543342,"diag_e",NA,NA,"mvn"
"8","NUTS",1,5,200,0.935889257075525,0.95,0.137458033127573,40.08,31,23.1069887543342,"dense_e",NA,NA,"mvn"
"9","HMC0.1",1,5,200,0.249543410553057,0.3,0.563243782099459,0.0563243782099459,NA,NA,"diag_e",0.1,0.0563243782099459,"mvn"
"10","HMC0.1",1,5,200,0.249543410553057,0.3,0.563243782099459,0.0563243782099459,NA,NA,"dense_e",0.1,0.0563243782099459,"mvn"
"11","HMC0.1",1,5,200,0.316553051057308,0.5,0.362242762691307,0.0362242762691307,NA,NA,"diag_e",0.1,0.0362242762691307,"mvn"
"12","HMC0.1",1,5,200,0.316553051057308,0.5,0.362242762691307,0.0362242762691307,NA,NA,"dense_e",0.1,0.0362242762691307,"mvn"
"13","HMC0.1",1,5,200,0.900816800160034,0.8,0.173469488031979,0.0173469488031979,NA,NA,"diag_e",0.1,0.0173469488031979,"mvn"
"14","HMC0.1",1,5,200,0.900816800160034,0.8,0.173469488031979,0.0173469488031979,NA,NA,"dense_e",0.1,0.0173469488031979,"mvn"
"15","HMC0.1",1,5,200,0.975749097772564,0.95,0.125778984806931,0.0125778984806931,NA,NA,"diag_e",0.1,0.0125778984806931,"mvn"
