"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","NUTS",1,5,2000,0.903333577216623,0.8,0.727490657447555,4.15,3,1.90292436032574,"diag_e","mvn"
"2","NUTS",2,5,2000,0.876307337982004,0.8,0.828407450876723,3.538,3,1.55079365518465,"diag_e","mvn"
"3","NUTS",3,5,2000,0.908117593436347,0.8,0.722982355525587,4.408,3,1.97317749567276,"diag_e","mvn"
"4","NUTS",4,5,2000,0.883720431431284,0.8,0.800679291353977,3.694,3,1.67007579263731,"diag_e","mvn"
"5","NUTS",5,5,2000,0.912731135986001,0.8,0.698034169916715,4.488,3,1.99745984836888,"diag_e","mvn"
"6","NUTS",6,5,2000,0.892111251265065,0.8,0.747892428146111,4.004,3,1.83612509251286,"diag_e","mvn"
"7","NUTS",1,10,2000,0.869458561201524,0.8,0.715946674984612,4.714,3,1.98548385693416,"diag_e","mvn"
"8","NUTS",2,10,2000,0.894302008350075,0.8,0.642201333662798,5.63,7,1.89596800993442,"diag_e","mvn"
"9","NUTS",3,10,2000,0.888144263884301,0.8,0.67606106475727,5.122,7,2.00627543999849,"diag_e","mvn"
"10","NUTS",4,10,2000,0.881294716627742,0.8,0.657891185191084,5.184,7,1.99452303123381,"diag_e","mvn"
"11","NUTS",5,10,2000,0.888220118159325,0.8,0.668393100269851,5.276,7,1.98589218432617,"diag_e","mvn"
"12","NUTS",6,10,2000,0.868463062742843,0.8,0.701214610013145,4.694,3,1.98047627763785,"diag_e","mvn"
"13","NUTS",1,50,2000,0.880543078704993,0.8,0.469625373123458,7,7,0,"diag_e","mvn"
"14","NUTS",2,50,2000,0.855176827731722,0.8,0.516857140613066,6.996,7,0.126491106406735,"diag_e","mvn"
"15","NUTS",3,50,2000,0.889986198496624,0.8,0.444912188891848,7,7,0,"diag_e","mvn"
"16","NUTS",4,50,2000,0.874364750420997,0.8,0.477432014465214,7,7,0,"diag_e","mvn"
"17","NUTS",5,50,2000,0.872976087972528,0.8,0.492192454862386,7,7,0,"diag_e","mvn"
"18","NUTS",6,50,2000,0.873780209490202,0.8,0.466908317555248,7,7,0,"diag_e","mvn"
"19","NUTS",1,100,2000,0.904622710535095,0.8,0.347194824103554,13.912,15,2.74368070004215,"diag_e","mvn"
"20","NUTS",2,100,2000,0.842891718785654,0.8,0.434656236571128,7,7,0,"diag_e","mvn"
"21","NUTS",3,100,2000,0.897249345820421,0.8,0.359240561814589,12.784,15,3.58192325073754,"diag_e","mvn"
"22","NUTS",4,100,2000,0.869938390141802,0.8,0.390574189861721,7.768,7,2.35790918733859,"diag_e","mvn"
"23","NUTS",5,100,2000,0.865855574082222,0.8,0.391194467485037,7.88,7,2.50437055402588,"diag_e","mvn"
"24","NUTS",6,100,2000,0.888544172969485,0.8,0.363402590849086,12.264,15,3.79693570142039,"diag_e","mvn"
