"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,5,0.5,0.0100000000000051,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,321.83333387163,0.260000000000005,"mvn"
"2","stan.nuts",1,5,0.2,0.032,0.015,3.76982525603818,7.63091852916666,2000,7.2806989000158,"diag_e",1.0248920384177,251.321683735879,80.2090480008124,0.047,"mvn"
"3","stan.nuts",1,5,0.2,0.016,0.062,104.405746160924,188.734590007241,2000,90.5299304150613,"dense_e",0.199003962833505,1683.96364775683,1338.53520719133,0.078,"mvn"
"4","stan.nuts",1,5,0.5,0.015,0.062,628.940307205464,676.042605380106,2000,614.22644724485,"diag_e",0.431939405607233,10144.1985033139,8168.0559377333,0.077,"mvn"
"5","stan.nuts",1,5,0.5,1.125,17.266,975.351310340377,2000,2000,986.383576798101,"dense_e",6.65265023330526e-07,56.4897086957244,53.0341640117654,18.391,"mvn"
"6","stan.nuts",1,5,0.7,0.031,0.078,689.272411144459,742.013041682993,2000,677.940399416435,"diag_e",0.330215963991463,8836.82578390332,6323.60010224275,0.109,"mvn"
"7","stan.nuts",1,5,0.7,4.766,17.766,580.86061908014,707.274157816863,2000,576.009115933943,"dense_e",9.40753231833392e-09,32.6950703073365,25.7793635309844,22.532,"mvn"
"8","stan.nuts",1,5,0.8,0.047,0.093,488.083693164593,611.446010350064,2000,607.734149303208,"diag_e",0.260640089846082,5248.21175445799,3486.31209403281,0.14,"mvn"
"9","stan.nuts",1,5,0.8,2.328,19.219,295.975088859296,296.012811145029,2000,326.367686746068,"dense_e",1.04435591817345e-07,15.4001294999373,13.7362551101915,21.547,"mvn"
"10","stan.nuts",1,5,0.9,0.047,0.125,572.283905432262,678.232065176522,2000,569.15588399694,"diag_e",0.231680858276813,4578.27124345809,3327.2320083271,0.172,"mvn"
"11","stan.nuts",1,5,0.9,6.422,17.547,7.50485023205032,7.55728081553621,2000,3.9344144563623,"dense_e",1.06849800080952e-11,0.427699904943883,0.313106522260016,23.969,"mvn"
"12","stan.nuts",1,5,0.95,0.063,0.109,549.162508745313,685.239813973506,2000,618.553799013788,"diag_e",0.228907681978694,5038.18815362673,3192.80528340298,0.172,"mvn"
"13","stan.nuts",1,5,0.95,6.516,17.079,2.92927092050968,2.92927140315272,2000,1.82370599459024,"dense_e",9.88495656438211e-19,0.171513023040558,0.12414795170628,23.595,"mvn"
"14","jags",2,5,0.5,0.0200000000000102,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,309.913580765268,0.27000000000001,"mvn"
"15","stan.nuts",2,5,0.2,0.016,0.031,11.60679508998,15.30129271211,2000,11.9033834681249,"diag_e",0.926959836433821,374.412744838065,246.953087020851,0.047,"mvn"
"16","stan.nuts",2,5,0.2,0.781,17.266,4.23972236724215,6.08523954745506,2000,1.75367490462318,"dense_e",3.98169000354749e-06,0.245553247262953,0.234926711766064,18.047,"mvn"
"17","stan.nuts",2,5,0.5,0.032,0.031,76.049204523777,121.601360674149,2000,75.5730541429149,"diag_e",0.58215064604398,2453.20014592829,1207.13023053614,0.063,"mvn"
"18","stan.nuts",2,5,0.5,3.688,18.391,6.67537633946518,10.7459243367455,2000,3.37713594905397,"dense_e",7.44467726160882e-08,0.362969731905018,0.302340519926862,22.079,"mvn"
"19","stan.nuts",2,5,0.7,0.047,0.078,582.71825481777,773.482198944012,2000,610.711007615952,"diag_e",0.31399266799886,7470.74685663808,4661.74603854216,0.125,"mvn"
"20","stan.nuts",2,5,0.7,4.453,17.313,4.81155328853056,267.444314049788,2000,2.77119682957792,"dense_e",2.70980299234817e-08,0.27791562921103,0.221058223308397,21.766,"mvn"
"21","stan.nuts",2,5,0.8,0.047,0.11,705.16992353226,817.540085601249,2000,757.275278382902,"diag_e",0.252329885423139,6410.63566847509,4491.52817536472,0.157,"mvn"
"22","stan.nuts",2,5,0.8,6.266,17.735,33.7181506694118,34.5291257105561,2000,36.515329537146,"dense_e",1.49125428305292e-10,1.90122078767476,1.4048644085418,24.001,"mvn"
"23","stan.nuts",2,5,0.9,0.047,0.109,456.021673891793,833.801360847917,2000,633.895608820813,"diag_e",0.227349590827149,4183.68508157608,2923.21585828072,0.156,"mvn"
"24","stan.nuts",2,5,0.9,5.469,18.532,24.8195555966,25.076638091185,2000,16.2817485984577,"dense_e",3.56265830662105e-10,1.33928100564429,1.03410506214741,24.001,"mvn"
"25","stan.nuts",2,5,0.95,0.063,0.109,590.32899426024,644.627195854872,2000,579.345185541236,"diag_e",0.213881909164445,5415.86233266275,3432.14531546651,0.172,"mvn"
"26","stan.nuts",2,5,0.95,5.688,19.219,159.257633425125,159.492909046552,2000,190.250607452389,"dense_e",8.62755439341133e-10,8.28646825667961,6.39409135685251,24.907,"mvn"
"27","jags",3,5,0.5,0.0100000000000477,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,321.833333871578,0.260000000000048,"mvn"
"28","stan.nuts",3,5,0.2,0.031,0.016,16.2872303330546,21.0919896211433,2000,17.4271339245396,"diag_e",0.879650750277351,1017.95189581591,346.536815596906,0.047,"mvn"
"29","stan.nuts",3,5,0.2,0.297,9.516,86.7140569787068,190.815846126198,2000,87.7397817257358,"dense_e",8.76329071693275e-05,9.11244819028024,8.83665107293455,9.813,"mvn"
"30","stan.nuts",3,5,0.5,0.031,0.063,390.653238521905,694.672305735168,2000,393.186829422089,"diag_e",0.447193461234715,6200.84505590325,4155.88551619047,0.094,"mvn"
"31","stan.nuts",3,5,0.5,4.438,17.188,1008.39114326068,1611.33588105692,2000,1005.40817749957,"dense_e",2.55520054141713e-08,58.6683234384849,46.6286480745713,21.626,"mvn"
"32","stan.nuts",3,5,0.7,0.047,0.062,529.268194126432,675.204693307831,2000,517.193085959533,"diag_e",0.382173105397486,8536.58377623277,4855.67150574708,0.109,"mvn"
"33","stan.nuts",3,5,0.7,5.375,17.516,22.8135042716185,71.7792152833221,2000,46.5208159352257,"dense_e",1.22109348603988e-09,1.30243801505016,0.996614576541808,22.891,"mvn"
"34","stan.nuts",3,5,0.8,0.047,0.094,523.828797919625,740.757955354891,2000,655.5774686521,"diag_e",0.250439019968671,5572.64678637899,3715.09785758599,0.141,"mvn"
"35","stan.nuts",3,5,0.8,5.063,18.344,4.38323005771741,47.3112530601903,2000,2.23607064204767,"dense_e",4.36176303638269e-09,0.238946252601255,0.187261505435016,23.407,"mvn"
"36","stan.nuts",3,5,0.9,0.063,0.094,666.942338784194,719.233487221914,2000,663.800542965797,"diag_e",0.251648022591776,7095.13126366164,4248.04037442162,0.157,"mvn"
"37","stan.nuts",3,5,0.9,5.297,17.36,21.7762133446549,21.7968201490182,2000,15.1772248437168,"dense_e",4.36982531550286e-10,1.25439016962298,0.961125186240672,22.657,"mvn"
"38","stan.nuts",3,5,0.95,0.078,0.125,541.414387718134,666.701636272275,2000,582.718024904005,"diag_e",0.193039251560457,4331.31510174507,2667.06594935041,0.203,"mvn"
"39","stan.nuts",3,5,0.95,6.859,17.844,2.85605968013887,2.85606706681541,2000,1.47766885535821,"dense_e",3.75574518621951e-21,0.160057144145868,0.115615904146819,24.703,"mvn"
"40","jags",4,5,0.5,0.0199999999999818,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,309.913580765301,0.269999999999982,"mvn"
"41","stan.nuts",4,5,0.2,0.015,0.032,10.0919977189073,18.633260064491,2000,11.0355452026612,"diag_e",1.02319347368405,315.374928715853,214.723355721432,0.047,"mvn"
"42","stan.nuts",4,5,0.2,0.391,9.859,16.0870415214733,2000,2000,37.8967247723653,"dense_e",3.73030002645324e-05,1.63171128121242,1.56946746550959,10.25,"mvn"
"43","stan.nuts",4,5,0.5,0.031,0.047,454.445242773033,623.255139536403,2000,443.821310132948,"diag_e",0.500990230004558,9669.04771857518,5826.22106119273,0.078,"mvn"
"44","stan.nuts",4,5,0.5,0.484,5.859,60.7108216742944,265.466597584988,2000,61.6020247404754,"dense_e",5.22226426847363e-05,10.3619767322571,9.57131036958765,6.343,"mvn"
"45","stan.nuts",4,5,0.7,0.031,0.094,664.978530783524,848.796592583662,2000,612.629747270568,"diag_e",0.29833457122221,7074.23968918643,5319.82824626819,0.125,"mvn"
"46","stan.nuts",4,5,0.7,5.985,17.579,297.228528111705,299.738032554603,2000,323.809712668349,"dense_e",4.94284361500347e-10,16.9081590597705,12.613670349334,23.564,"mvn"
"47","stan.nuts",4,5,0.8,0.047,0.094,557.383967351771,647.513896173664,2000,543.243888590773,"diag_e",0.271149224736097,5929.61667395501,3953.07778263667,0.141,"mvn"
"48","stan.nuts",4,5,0.8,5.922,18.407,63.8828288898245,63.8828291236287,2000,54.7378544883883,"dense_e",2.65381869538995e-10,3.47057254793418,2.62578934151936,24.329,"mvn"
"49","stan.nuts",4,5,0.9,0.046,0.11,619.177022031888,703.483685376884,2000,639.906279985626,"diag_e",0.228842624933542,5628.88201847171,3969.08347456339,0.156,"mvn"
"50","stan.nuts",4,5,0.9,5.719,17.485,7.86492687791092,7.86499472573396,2000,5.26444729916864,"dense_e",6.0031395996824e-11,0.449809944404399,0.338947029732413,23.204,"mvn"
"51","stan.nuts",4,5,0.95,0.063,0.109,559.6786630161,769.147659252976,2000,651.902204882525,"diag_e",0.225709058336724,5134.66663317523,3253.94571520989,0.172,"mvn"
"52","stan.nuts",4,5,0.95,5.843,17.72,4.6231329273679,4.79705630252518,2000,3.65220006070648,"dense_e",4.98196284311561e-12,0.260899149399995,0.19620306953138,23.563,"mvn"
"53","jags",5,5,0.5,0.00999999999999091,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,321.833333871648,0.259999999999991,"mvn"
"54","stan.nuts",5,5,0.2,0.016,0.031,8.97987749604865,24.4145667837392,2000,16.551800292694,"diag_e",0.784766663965225,289.673467614473,191.061223320184,0.047,"mvn"
"55","stan.nuts",5,5,0.2,1.032,12.344,8.73601577870928,1624.76804553181,2000,6.15908838530817,"dense_e",3.46793339918929e-06,0.707713527115139,0.653111227475275,13.376,"mvn"
"56","stan.nuts",5,5,0.5,0.032,0.062,417.306380976234,679.398120276828,2000,452.361725619193,"diag_e",0.504866259080932,6730.74808026184,4439.42958485355,0.094,"mvn"
"57","stan.nuts",5,5,0.5,4.593,18.204,2.84699264170317,4.95348077271837,2000,1.52292394742118,"dense_e",3.52870208147232e-08,0.15639379486394,0.12488453049538,22.797,"mvn"
"58","stan.nuts",5,5,0.7,0.047,0.078,444.381478519432,602.393296989437,2000,553.3036745992,"diag_e",0.330778916027692,5697.19844255682,3555.05182815546,0.125,"mvn"
"59","stan.nuts",5,5,0.7,5.204,17.5,744.165003600781,767.342240387876,2000,699.615210084732,"dense_e",1.20687930384647e-09,42.5237144914732,32.7768236258272,22.704,"mvn"
"60","stan.nuts",5,5,0.8,0.046,0.094,573.386212600327,748.408213977747,2000,578.550631558469,"diag_e",0.296858913995222,6099.85332553539,4095.61580428805,0.14,"mvn"
"61","stan.nuts",5,5,0.8,5.016,18.282,115.679244454835,116.814737969838,2000,174.882700779868,"dense_e",1.75867960444146e-09,6.32749395333304,4.96520063760128,23.298,"mvn"
"62","stan.nuts",5,5,0.9,0.047,0.109,516.415696647484,725.418777676952,2000,512.679950493041,"diag_e",0.251839362168401,4737.7586848393,3310.35702979156,0.156,"mvn"
"63","stan.nuts",5,5,0.9,6.672,18.735,2.86732828581463,2.86732922788032,2000,1.49218077645655,"dense_e",5.94194105423092e-20,0.153046612533473,0.112855838383698,25.407,"mvn"
"64","stan.nuts",5,5,0.95,0.078,0.094,638.331652407393,721.553679502646,2000,631.88966876806,"diag_e",0.255210155110881,6790.76225965312,3711.23053725229,0.172,"mvn"
"65","stan.nuts",5,5,0.95,6,17.282,2.86957359493568,2.86984066504619,2000,1.4343635042307,"dense_e",3.23362792920129e-22,0.166044068680459,0.123252881837286,23.282,"mvn"
"66","jags",6,5,0.5,0.0200000000000955,0.25,83.6766668066256,194.632537248605,2000,144.66594609876,NA,NA,334.706667226502,309.91358076517,0.270000000000095,"mvn"
"67","stan.nuts",6,5,0.2,0.015,0.031,12.5062414436546,16.0312337583154,2000,14.246375573932,"diag_e",0.861955297886762,403.427143343696,271.874813992491,0.046,"mvn"
