"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,5,0.5,0.00999999999999091,0.829999999999984,12.07546396454,19.4292821373599,2000,12.9094059886779,NA,NA,14.5487517645063,14.3755523387385,0.839999999999975,"mvn"
"2","stan.nuts",1,5,0.8,0.039,0.074,780.240871451419,1486.26926881652,2000,772.084296714198,"diag_e",0.727490657447555,10543.7955601543,6904.78647302141,0.113,"mvn"
"3","jags",2,5,0.5,0.0200000000000387,0.830000000000041,13.0074422254147,19.5271686671104,2000,13.6451438836725,NA,NA,15.6716171390531,15.3028732063689,0.85000000000008,"mvn"
"4","stan.nuts",2,5,0.8,0.038,0.066,505.783556866991,1810.73249749214,2000,722.962877293833,"diag_e",0.828407450876723,7663.38722525743,4863.30343141337,0.104,"mvn"
"5","jags",3,5,0.5,0.00999999999999091,0.829999999999984,10.4708598648423,15.1397296276354,2000,11.284265836593,NA,NA,12.6154938130633,12.4653093629079,0.839999999999975,"mvn"
"6","stan.nuts",3,5,0.8,0.038,0.076,807.130973909742,1493.02302932063,2000,782.147796740956,"diag_e",0.722982355525587,10620.1443935492,7080.09626236616,0.114,"mvn"
"7","jags",4,5,0.5,0.00999999999999091,0.819999999999993,8.45949898989658,13.8915765029047,2000,12.8060976018735,NA,NA,10.3164621828008,10.1921674577069,0.829999999999984,"mvn"
"8","stan.nuts",4,5,0.8,0.039,0.069,636.664784713624,1693.8692663318,2000,618.512090762047,"diag_e",0.800679291353977,9227.02586541484,5895.04430290393,0.108,"mvn"
"9","jags",5,5,0.5,0.0199999999999818,0.829999999999984,6.00975181501135,15.998767323486,2000,6.98986315085982,NA,NA,7.24066483736321,7.07029625295481,0.849999999999966,"mvn"
"10","stan.nuts",5,5,0.8,0.038,0.078,873.13546105185,1526.46441716189,2000,817.611584398079,"diag_e",0.698034169916715,11194.0443724596,7527.02983665388,0.116,"mvn"
"11","jags",6,5,0.5,0.0400000000000205,0.829999999999984,9.73654387984762,17.113275717483,2000,10.6014352571929,NA,NA,11.7307757588528,11.1914297469512,0.870000000000005,"mvn"
"12","stan.nuts",6,5,0.8,0.037,0.071,778.047319495444,1215.80680150329,2000,853.647554765106,"diag_e",0.747892428146111,10958.41295064,7204.14184718003,0.108,"mvn"
"13","jags",1,10,0.5,0.0699999999999932,4.17000000000002,14.4530290165526,19.3077974655643,2000,11.7777771932119,NA,NA,3.46595420061211,3.40873325862088,4.24000000000001,"mvn"
