"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","cor"
"1","jags",1,2,0.5,0,2.86000000000001,31864.4294584781,31949.3577185001,50000,32191.2494978686,0.999981426410605,1.00005900825952,1.00002021733506,NA,NA,11141.4089015657,11141.4089015657,2.86000000000001,"mvnd",0
"2","stan.nuts",1,2,0.8,0.601,1.347,15174.1331762378,35214.5845361649,50000,15869.1408577409,0.999980102527418,1.00007610220941,1.00001648928211,"diag_e",0.875939073960937,11265.1322763458,7789.59608636436,1.948,"mvnd",0
"3","jags",2,2,0.5,0,2.86000000000001,31560.0908338589,32020.8149996721,50000,32004.4358075108,0.999981934117104,1.00000248312939,0.999992208623246,NA,NA,11034.9967950555,11034.9967950555,2.86000000000001,"mvnd",0
"4","stan.nuts",2,2,0.8,0.59,1.392,14951.7455453831,31756.6724443081,50000,14793.1571731285,1.00002897973161,1.00008537893398,1.00003204377589,"diag_e",0.850602965953339,10741.1965124879,7543.76667274627,1.982,"mvnd",0
"5","jags",3,2,0.5,0,2.85000000000002,31521.1807466634,31912.7002928436,50000,32058.7413660679,0.999990086257876,1.00000236864266,0.999996227450267,NA,NA,11060.0634198818,11060.0634198818,2.85000000000002,"mvnd",0
"6","stan.nuts",3,2,0.8,0.594,1.434,13606.2823266355,27954.3257097251,50000,14037.7367039475,0.999980502837264,1.00009175835359,0.999981350362733,"diag_e",0.82412831731516,9488.34192931343,6709.21219262103,2.028,"mvnd",0
"7","jags",4,2,0.5,0,2.84000000000003,31948.3368164481,32065.6264213569,50000,32266.4373558338,0.999987066242431,0.99999440792419,0.999990737083311,NA,NA,11249.4143719887,11249.4143719887,2.84000000000003,"mvnd",0
"8","stan.nuts",4,2,0.8,0.586,1.421,14281.4931098387,29595.935278261,50000,14277.8114379803,0.999997649448963,1.00009400105504,1.00006958219409,"diag_e",0.826310758050821,10050.3118295839,7115.84111103074,2.007,"mvnd",0
"9","jags",5,2,0.5,0,2.88,32306.5668318912,32494.6483977852,50000,32623.8908168181,0.999981670228793,1.00001404716158,0.999997858695186,NA,NA,11217.55792774,11217.55792774,2.88,"mvnd",0
"10","stan.nuts",5,2,0.8,0.589,1.531,14094.9829625721,25096.9693662311,50000,13696.7652481208,0.999980082032493,1.00006767100097,0.999993129244384,"diag_e",0.751189876781173,9206.3899167682,6648.57686913779,2.12,"mvnd",0
