"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan.nuts",1,1637,10000,0.90157955606887,0.9,0.0589693394157368,0,0,62.3216,63,8.48842648061603,"diag_e","quantgene"
"2","stan.nuts",2,1637,10000,0.945447022711231,0.9,0.0402497626063663,0,0,142.3472,127,180.85513420435,"diag_e","quantgene"
"3","stan.nuts",3,1637,10000,0.904286254689043,0.9,0.0569049578001017,0,0,62.8464,63,10.2798026201081,"diag_e","quantgene"
"4","stan.nuts",4,1637,10000,0.950563671719981,0.9,0.0370008973302655,0,0,123.1472,127,15.4381475391281,"diag_e","quantgene"
"5","stan.nuts",5,1637,10000,0.877567968265141,0.9,0.0677792335828234,0,0,69.4128,63,66.8172859827546,"diag_e","quantgene"
"6","stan.nuts",6,1637,10000,0.861095385003324,0.9,0.0367771438153648,0,7,152.6066,127,185.789635324899,"diag_e","quantgene"
"7","stan.nuts",7,1637,10000,0.739140052665416,0.9,0.0517314881049526,0,125,117.182,63,152.93465623532,"diag_e","quantgene"
"8","stan.nuts",8,1637,10000,0.938632817297576,0.9,0.0466823037096012,0,0,118.0336,63,184.797043430062,"diag_e","quantgene"
"9","stan.nuts",9,1637,10000,0.919138739723785,0.9,0.0580083543168181,0,0,61.5856,63,22.1596769583083,"diag_e","quantgene"
"10","stan.nuts",10,1637,10000,0.940101508772884,0.9,0.0353080222764812,0,0,134.3728,127,97.3555865998888,"diag_e","quantgene"
