"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",1,5,0.5,2.33,452.764830988154,848.522773686587,20000,376.760275396007,1.00008593170408,1.00274848561098,1.00144108243106,NA,NA,194.319669951997,2.33,"redkite"
"2","stan.nuts",1,5,0.8,8.88,4389.80502674553,5789.6055424937,20000,4506.00208476855,0.999950029796403,1.00012369478027,1.00006438756097,"diag_e",0.285063894311385,494.347412921794,8.88,"redkite"
"3","jags",2,5,0.5,2.19,599.093351510914,1050.96953352648,20000,610.063027184967,1.00017985165449,1.00240371270101,1.00060402881991,NA,NA,273.55860799585,2.19,"redkite"
"4","stan.nuts",2,5,0.8,7.98,2317.88714442132,4763.89141426906,20000,2381.72491121704,0.999951302779904,1.00000836379373,0.999964407037205,"diag_e",0.314872793856813,290.462048173097,7.98,"redkite"
"5","jags",3,5,0.5,2.19,686.043501725707,1101.27513090627,20000,604.053493251274,0.99995401407859,1.00178931656879,1.00040385263433,NA,NA,313.261872934113,2.19,"redkite"
"6","stan.nuts",3,5,0.8,8.94,4115.11566204846,6137.41333355137,20000,4145.84486409156,1.00003031976617,1.00013793597874,1.00006253102916,"diag_e",0.257161606482297,460.303765329805,8.94,"redkite"
"7","jags",4,5,0.5,2.31,555.944066169946,1011.50829243954,20000,546.813487319701,0.999952871447835,1.00573644698956,1.0050575708507,NA,NA,240.668426913396,2.31,"redkite"
"8","stan.nuts",4,5,0.8,9.06999999999999,1530.77821503279,5059.30012699647,20000,1616.16862865811,1.00000953854686,1.00137505395619,1.00016004576011,"diag_e",0.283172969328826,168.773783355324,9.06999999999999,"redkite"
"9","jags",5,5,0.5,2.41,350.018824309097,1009.20075607274,20000,345.751649891154,0.999950016546343,1.00785099627152,1.00068367471718,NA,NA,145.236026684273,2.41,"redkite"
"10","stan.nuts",5,5,0.8,9.34,4440.89716620594,5497.58701572345,20000,4737.83619958091,0.999959314872148,1.00040425404279,1.0001765504444,"diag_e",0.270855398932709,475.470788673013,9.34,"redkite"
"11","jags",6,5,0.5,2.37,676.243177758744,994.399699611235,20000,731.863777299674,0.999978281682502,1.00111826089189,1.00104001588178,NA,NA,285.334674159807,2.37,"redkite"
"12","stan.nuts",6,5,0.8,8.66,2175.09973989794,5565.79469947982,20000,2248.30459907089,0.999965798980392,1.00134950061977,1.00040156090541,"diag_e",0.277770353186028,251.166251720317,8.66,"redkite"
"13","jags",7,5,0.5,2.23000000000002,630.469747261245,1064.05954007804,20000,676.579825980235,1.0000277711481,1.00699828396877,1.00315879194653,NA,NA,282.721859758403,2.23000000000002,"redkite"
"14","stan.nuts",7,5,0.8,8.69,2063.41706818644,4927.72987974649,20000,1923.16909318628,0.999949998849981,1.00007814876653,0.999961208184399,"diag_e",0.277335972065775,237.447303588774,8.69,"redkite"
"15","jags",8,5,0.5,2.5,287.058569550715,1085.6238285293,20000,288.563199487984,1.00000268708348,1.00176818244251,1.00008985127551,NA,NA,114.823427820286,2.5,"redkite"
"16","stan.nuts",8,5,0.8,8.75999999999999,3375.01713222643,5416.00643822408,20000,3444.55633643466,0.999951892239765,1.0002796449818,0.999968384042243,"diag_e",0.281682834931136,385.27592833635,8.75999999999999,"redkite"
"17","jags",9,5,0.5,2.30000000000001,566.354514931307,929.015860180878,20000,540.043203431364,1.00002569477257,1.00132651172716,1.000965797602,NA,NA,246.241093448393,2.30000000000001,"redkite"
"18","stan.nuts",9,5,0.8,8.31,2941.68834268914,5466.02403554012,20000,2905.87399354274,0.999961426311215,1.00024361796805,0.99998927245403,"diag_e",0.298800265281902,353.993783717105,8.31,"redkite"
"19","jags",10,5,0.5,2.29000000000002,794.329174518624,1243.6260200681,20000,712.620955594656,1.00011784307725,1.00072467879761,1.00033264963098,NA,NA,346.868635160968,2.29000000000002,"redkite"
"20","stan.nuts",10,5,0.8,9.01999999999998,3019.29587856449,5841.13071711555,20000,3130.22277911163,0.999950014573163,1.00036108782298,0.99995475943749,"diag_e",0.281044137497532,334.733467690078,9.01999999999998,"redkite"
