"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",1,28,0.5,18.5699999999997,24.4471534302959,1931.60887111816,20000,17.784109308699,0.999950457960994,1.00654519059605,1.0003295715903,NA,NA,1.31648645289694,18.5699999999997,"ss_logistic_nc"
"2","stan.nuts",1,28,0.95,199.940000000001,5586.44840751532,20000,20000,5804.89056663063,0.999950341975638,1.00010184108321,0.999983095538017,"diag_e",0.0176623229714315,27.940624224844,199.940000000001,"ss_logistic_nc"
"3","jags",2,28,0.5,18.6599999999999,11.7734548147697,1583.57712923623,20000,8.59092977972209,0.999950006351462,1.00734528429924,1.00009355632677,NA,NA,0.63094613155251,18.6599999999999,"ss_logistic_nc"
"4","stan.nuts",2,28,0.95,201.32,4800.66875236382,20000,20000,4924.03563628194,0.999949999009663,1.0001174067559,0.999961703259872,"diag_e",0.0142442230161095,23.8459604230272,201.32,"ss_logistic_nc"
"5","jags",3,28,0.5,18.4300000000003,12.0285995448661,1647.70995228152,20000,13.7615868077067,0.99995003357871,1.28609830492195,1.0009505553595,NA,NA,0.652664109867927,18.4300000000003,"ss_logistic_nc"
"6","stan.nuts",3,28,0.95,230.530000000001,5472.88775999288,17501.9562107312,20000,5427.21757214751,0.999950001166883,1.00027998451408,0.999994081810741,"diag_e",0.0115220857520296,23.7404579013268,230.530000000001,"ss_logistic_nc"
"7","jags",4,28,0.5,18.75,16.6932839019797,1728.27091991103,20000,17.7605222120362,0.999950103617531,1.0019426840521,1.00008831374208,NA,NA,0.890308474772253,18.75,"ss_logistic_nc"
"8","stan.nuts",4,28,0.95,198.370000000001,4190.65534563261,20000,20000,4179.43475203123,0.999950105218396,1.0004531954567,1.00001967180514,"diag_e",0.0132724131383418,21.1254491386429,198.370000000001,"ss_logistic_nc"
"9","jags",5,28,0.5,18.6799999999985,26.0806070546542,1525.41103375555,20000,15.5838289378274,0.99995068218673,1.06850585796483,1.00060036579308,NA,NA,1.39617810785098,18.6799999999985,"ss_logistic_nc"
"10","stan.nuts",5,28,0.95,199.949999999999,5389.13542407047,20000,20000,5822.85258717481,0.999950027897289,1.00010193887723,0.999958836403269,"diag_e",0.0151850019354783,26.9524152241585,199.949999999999,"ss_logistic_nc"
"11","jags",6,28,0.5,18.5,9.57392416641641,1640.81242493741,20000,12.9133237724037,0.999951765333888,1.10968139353495,1.00053325939965,NA,NA,0.517509414400887,18.5,"ss_logistic_nc"
"12","stan.nuts",6,28,0.95,199.08,5560.16558904678,20000,20000,5482.85114529711,0.999950180764576,1.00057328932325,1.00000114243822,"diag_e",0.015929973335116,27.9293027378279,199.08,"ss_logistic_nc"
"13","jags",7,28,0.5,18.6400000000012,8.4256947988648,1392.17142958001,20000,15.9756888381723,0.99995477751539,1.34861852769692,1.00103407595485,NA,NA,0.452022253157953,18.6400000000012,"ss_logistic_nc"
"14","stan.nuts",7,28,0.95,195.469999999999,4985.90009479334,15462.961851365,20000,5547.48426157777,0.999950236463283,1.00034121409657,0.999977502189296,"diag_e",0.0209508843797822,25.5072394474516,195.469999999999,"ss_logistic_nc"
"15","jags",8,28,0.5,20.5300000000007,9.51543018852811,1424.29207271977,20000,7.1330585447975,0.999951262986659,1.52269893617143,1.00271737580322,NA,NA,0.463489049611681,20.5300000000007,"ss_logistic_nc"
"16","stan.nuts",8,28,0.95,233.66,5927.80785414032,20000,20000,6194.33659761904,0.999950153578454,1.0001896683736,0.999969296476026,"diag_e",0.0183285379818773,25.3693736803061,233.66,"ss_logistic_nc"
"17","jags",9,28,0.5,18.5499999999993,17.6158418752577,1700.62201562916,20000,14.052441052907,0.999968967674192,1.0816336427532,1.00071299627435,NA,NA,0.949641071442501,18.5499999999993,"ss_logistic_nc"
"18","stan.nuts",9,28,0.95,190.140000000001,5158.93864833879,20000,20000,5265.08110960776,0.99995002974097,1.00010101279811,0.999979866753462,"diag_e",0.0199919906853684,27.1323164422991,190.140000000001,"ss_logistic_nc"
"19","jags",10,28,0.5,18.5400000000009,27.3199967353591,1753.58929535614,20000,21.2880690638268,0.999950563482787,1.00563106433181,1.00010240025906,NA,NA,1.47357048195026,18.5400000000009,"ss_logistic_nc"
"20","stan.nuts",10,28,0.95,266.65,6063.15571250831,20000,20000,6207.6866725542,0.999950015698757,1.00015960549056,0.999983814135803,"diag_e",0.0110905045016912,22.7382550628476,266.65,"ss_logistic_nc"
