"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",59189,177,0.5,1331.43,53.4357289000776,7639.49165764489,20000,85.0545734941075,0.999950028926743,1.0517185069632,1.00002139397222,NA,NA,0.0401340880858007,1331.43,"swallows_nc"
"2","stan.nuts",59189,177,0.8,2402.56,115.305590219731,3127.38535531285,20000,241.639473367522,0.999950043576481,1.00631173087234,1.00021299838852,"diag_e",0.204554198804523,0.0479928036010466,2402.56,"swallows_nc"
"3","jags",33032,177,0.5,1315.44,137.032348823096,7941.54811679685,20000,182.491715489967,0.99995000218232,1.00218822214768,1.00001905361337,NA,NA,0.104172253256018,1315.44,"swallows_nc"
"4","stan.nuts",33032,177,0.8,3241.97,321.834546917743,20000,20000,408.319593298415,0.999950001967938,1.00462261863454,0.999996013645859,"diag_e",0.153266725679429,0.0992712908872516,3241.97,"swallows_nc"
"5","jags",19139,177,0.5,1352.97,220.043255877998,7579.04703272273,20000,275.267804535059,0.999949999390617,1.01138021700109,1.00002619558499,NA,NA,0.162637202508554,1352.97,"swallows_nc"
"6","stan.nuts",19139,177,0.8,2625.3,42.6234717945236,2751.83069817662,20000,65.4933110267243,0.999949998756633,1.03088626931377,1.00026672388063,"diag_e",0.19591992631657,0.0162356575608592,2625.3,"swallows_nc"
"7","jags",78362,177,0.5,1378.58,76.4681388631961,8121.50965479344,20000,107.449852853474,0.999949999552154,1.06054708346596,1.00004180161636,NA,NA,0.0554687713902683,1378.58,"swallows_nc"
"8","stan.nuts",78362,177,0.8,2661.77,949.963221488682,9833.43217016705,20000,1057.48641782618,0.999949999404911,1.0007594026433,0.999996226617712,"diag_e",0.195847629551513,0.35689155016725,2661.77,"swallows_nc"
"9","jags",61413,177,0.5,1409.05,140.633155304891,7828.78907247871,20000,171.485231354911,0.999949999641218,1.00211052900777,1.00005037334757,NA,NA,0.0998070723571845,1409.05,"swallows_nc"
"10","stan.nuts",61413,177,0.8,3060.12,1662.25446744354,20000,20000,1843.98607554146,0.999949998751477,1.00053318172309,0.999975130486842,"diag_e",0.157798033947305,0.543199112271263,3060.12,"swallows_nc"
"11","jags",72018,177,0.5,1404.11,99.5657648721616,7977.83297088703,20000,136.375950285078,0.999950024272067,1.00428077050716,1.00003524467989,NA,NA,0.0709102313010815,1404.11,"swallows_nc"
"12","stan.nuts",72018,177,0.8,2922.64,1060.74973759257,13328.7741895572,20000,1219.61657054425,0.999950000181742,1.00132128227962,1.0000214606282,"diag_e",0.184779669498947,0.362942318449267,2922.64,"swallows_nc"
"13","jags",66788,177,0.5,1476.37,80.9597068348537,7949.24840202914,20000,124.384945499067,0.99994999981554,1.00312006245534,1.00002158060086,NA,NA,0.0548370034847997,1476.37,"swallows_nc"
"14","stan.nuts",66788,177,0.8,3079.25,1309.25955192778,20000,20000,1386.1541149859,0.999950007419095,1.00083331907013,0.999962051912535,"diag_e",0.146403146316071,0.425187806098168,3079.25,"swallows_nc"
"15","jags",19639,177,0.5,1425.39,397.480139448994,7860.97678296674,20000,388.494309160624,0.999950005633002,1.01891771037294,1.00004867865738,NA,NA,0.278857112403618,1425.39,"swallows_nc"
"16","stan.nuts",19639,177,0.8,3033,409.561829977448,20000,20000,644.793772946031,0.999950003959911,1.00561280468763,0.999985992084589,"diag_e",0.140557921205679,0.135035222544493,3033,"swallows_nc"
"17","jags",68716,177,0.5,1474.2,88.5417492648082,7945.48875213328,20000,86.480382268999,0.999950000064235,1.00413324971441,1.00003073252323,NA,NA,0.0600608799788416,1474.2,"swallows_nc"
"18","stan.nuts",68716,177,0.8,2795.94,1333.05248201367,10398.311075956,20000,1460.50797449862,0.999949999465504,1.00083923717112,0.999991980669432,"diag_e",0.192551757797449,0.476781505330471,2795.94,"swallows_nc"
"19","jags",34163,177,0.5,1425.99,76.1108496154026,8083.58301022739,20000,97.585360012117,0.99994999894056,1.01661619153015,1.00004710541963,NA,NA,0.0533740416239965,1425.99,"swallows_nc"
"20","stan.nuts",34163,177,0.8,3009.03000000001,69.0952482912919,20000,20000,98.5525194712126,0.999950003659509,1.01589974531861,1.00024181898008,"diag_e",0.164323538119753,0.0229626319083864,3009.03000000001,"swallows_nc"
"21","jags",52953,177,0.5,1522.79,146.780511541337,7611.50067407382,20000,177.544382939168,0.999950030602398,1.00138787089505,1.00001708686692,NA,NA,0.0963892010988628,1522.79,"swallows_nc"
"22","stan.nuts",52953,177,0.8,2969.83,536.359531067395,7852.13258249581,20000,669.34585713835,0.99995000244761,1.00310537645911,1.00005410989714,"diag_e",0.185526884874608,0.180602772235244,2969.83,"swallows_nc"
"23","jags",75834,177,0.5,1458.07,226.72716771606,8124.55638984237,20000,227.937732024323,0.999949999639881,1.00624625463924,1.00001742516822,NA,NA,0.155498136383068,1458.07,"swallows_nc"
"24","stan.nuts",75834,177,0.8,3026.05,1199.40453909799,20000,20000,1197.61534438799,0.999949999267937,1.00057328265384,0.999973718201549,"diag_e",0.152606397353047,0.396359788866009,3026.05,"swallows_nc"
"25","jags",23712,177,0.5,1453.38,213.17063277494,7717.67727459599,20000,253.500931187554,0.999950000893947,1.00583421141295,1.00001540273826,NA,NA,0.146672331238176,1453.38,"swallows_nc"
"26","stan.nuts",23712,177,0.8,3073.42,672.702763517061,20000,20000,881.304183104469,0.999950003126571,1.00051279752395,0.999977927396793,"diag_e",0.139496048531396,0.218877590279578,3073.42,"swallows_nc"
"27","jags",80542,177,0.5,1480.89,197.779139439893,7734.70830222716,20000,275.728399072147,0.999950000515572,1.01036088285851,1.00004004946607,NA,NA,0.133554240652509,1480.89,"swallows_nc"
"28","stan.nuts",80542,177,0.8,3092.60999999999,933.59055596281,20000,20000,1081.82734923331,0.999949999462842,1.00072065854915,0.999969147351736,"diag_e",0.144378351788301,0.301877881777144,3092.60999999999,"swallows_nc"
