"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",1,177,0.5,861.4,77.4594133886262,4932.86225378871,20000,99.977274086994,0.999950021855393,1.05382124413221,1.000048147867,NA,NA,0.0899226995456538,861.4,"swallows"
"2","stan.nuts",1,177,0.8,6622.86,281.575116376437,20000,20000,308.673682855147,0.999949998789215,1.00471826091285,1.00000916088291,"diag_e",0.177949042889632,0.0425156377118702,6622.86,"swallows"
"3","jags",2,177,0.5,847.150000000001,143.859885219207,4961.8110296997,20000,152.202768402956,0.999950006273477,1.01516525687119,1.00002954060707,NA,NA,0.169816307878424,847.150000000001,"swallows"
"4","stan.nuts",2,177,0.8,6630.08,264.481538614914,20000,20000,299.406145276697,0.999949999031196,1.00332085780951,0.999987458345064,"diag_e",0.158121104284495,0.0398911534423286,6630.08,"swallows"
"5","jags",3,177,0.5,866.440000000001,108.093736291833,4887.79362120399,20000,151.678296409937,0.99994999925838,1.01514797246155,1.00004677327933,NA,NA,0.124756170412069,866.440000000001,"swallows"
"6","stan.nuts",3,177,0.8,6700.09,181.465820531837,20000,20000,225.133232457704,0.999949999282459,1.01331597108443,1.00006594352937,"diag_e",0.154003321510198,0.0270840870095532,6700.09,"swallows"
"7","jags",4,177,0.5,872.689999999999,137.265143108286,4326.63912930072,20000,190.411053702205,0.999949998779185,1.00389469159815,1.00010916943767,NA,NA,0.157289694058928,872.689999999999,"swallows"
"8","stan.nuts",4,177,0.8,6496.58,655.730168582811,20000,20000,712.544667432569,0.999949998750349,1.00124612624544,0.999978850221808,"diag_e",0.165376220983682,0.100934671563009,6496.58,"swallows"
"9","jags",5,177,0.5,871.300000000003,122.524818426357,5014.63327668356,20000,159.282872612657,0.999950024348192,1.00881305709303,1.00004274422602,NA,NA,0.140622998308684,871.300000000003,"swallows"
"10","stan.nuts",5,177,0.8,6868.82,347.146501613994,20000,20000,365.776357217906,0.999950001645334,1.00333390565579,1.00000205004485,"diag_e",0.161830400739457,0.0505394669847214,6868.82,"swallows"
"11","jags",6,177,0.5,880.420000000006,59.470502163575,4667.41614436542,20000,74.6256376398092,0.999950001010568,1.1013325312248,1.00014417934645,NA,NA,0.0675478773353339,880.420000000006,"swallows"
"12","stan.nuts",6,177,0.8,6524.7,26.2690007804531,20000,20000,49.5572109535121,0.999950160145525,1.03119359133965,1.0003539490572,"diag_e",0.153520350028633,0.00402608561013581,6524.7,"swallows"
"13","jags",7,177,0.5,884.5,46.2689381422673,4479.59936694043,20000,65.5311263751483,0.999950216805241,1.00754925522578,1.00008831721284,NA,NA,0.0523108401834566,884.5,"swallows"
"14","stan.nuts",7,177,0.8,6651.17,123.594507356783,20000,20000,243.949854203109,0.999950001295339,1.00376419698814,1.00005865975501,"diag_e",0.172394932032622,0.018582370824499,6651.17,"swallows"
"15","jags",8,177,0.5,908.419999999998,166.30176428106,5311.87056124343,20000,175.962032752797,0.999950002076735,1.01574736027077,1.00003947533205,NA,NA,0.183067044187777,908.419999999998,"swallows"
"16","stan.nuts",8,177,0.8,6916.09,49.8631141848851,20000,20000,65.1671704794015,0.999950004916787,1.00052570681082,0.999987950880739,"diag_e",0.146540883355959,0.0072097260424438,6916.09,"swallows"
"17","jags",9,177,0.5,971.43,99.3339006765908,4811.7819012097,20000,129.171678747965,0.999949999446899,1.00151245337149,1.00005422509911,NA,NA,0.102255335615115,971.43,"swallows"
"18","stan.nuts",9,177,0.8,7266.35,238.23097541599,20000,20000,276.33796202882,0.999949998858736,1.00786890588712,0.999995317523431,"diag_e",0.156116569166998,0.0327855079119489,7266.35,"swallows"
"19","jags",10,177,0.5,967.759999999995,79.8133826863601,5145.23964577575,20000,103.262212839897,0.999950000095543,1.02085970050578,1.00003491613998,NA,NA,0.0824722892931724,967.759999999995,"swallows"
"20","stan.nuts",10,177,0.8,7670.87000000001,74.6179462353113,20000,20000,144.973989036643,0.999950013198847,1.00587907911606,0.999978494481788,"diag_e",0.126605376840714,0.00972744241987039,7670.87000000001,"swallows"
