"model","Npar","max.cor","jags","stan.nuts","stan_re"
"growth_nc",66,0.888493674078323,9.03210783133499,39.0973514658656,4.33
"growth",66,0.874985388396815,7.15508495718941,1.84428730906561,0.26
"mvnc",2,0.844889700926485,1687.66356682524,3856.04807832917,2.28
"mvnd",5,0.785413445168676,120.49848479354,1776.9542241907,14.75
"quantgene_nc",1637,0.795513813473055,0.178168715500362,0.00944365637400243,0.05
"quantgene",1637,0.938079491804216,0.126296142158935,0.0190895565152319,0.15
"redkite",5,0.821001083926549,798.404266706321,405.282778257489,0.51
"ss_logistic_nc",28,0.961116596241042,0.818643113932721,26.5044026925276,32.38
"ss_logistic",28,0.962307587645738,1.17788250876875,0.174440731860449,0.15
"swallows_nc",177,0.769306722176686,0.220816329439431,0.0620339553775269,0.28
"swallows",177,0.889144415077457,0.570164644871431,0.0632879240333707,0.11
