"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan.nuts",59189,1101,20000,0.978259575136843,0.8,0.00884531135659421,0,0,518.6032,511,124.976731870118,"diag_e","wildflower"
"2","stan.nuts",33032,1101,20000,0.871291816492136,0.8,0.0583740406760314,0,0,86.3712,63,96.3258041419182,"diag_e","wildflower"
"3","stan.nuts",19139,1101,20000,0.925612295390272,0.8,0.039539206366641,0,0,137.7968,127,60.708488580999,"diag_e","wildflower"
"4","stan.nuts",78362,1101,20000,0.906666888915027,0.8,0.0418847614513187,0,0,132.4336,127,67.341484501136,"diag_e","wildflower"
"5","stan.nuts",61413,1101,20000,0.901507121954848,0.8,0.0365548634962993,0,0,158.7216,127,90.6810545049092,"diag_e","wildflower"
"6","stan.nuts",72018,1101,20000,0.815348423769653,0.8,0.0497906008997922,0,11,107.42165,63,98.452228534161,"diag_e","wildflower"
"7","stan.nuts",66788,1101,20000,0.87319633711504,0.8,0.0661979597144844,0,0,69.1616,63,41.068068066939,"diag_e","wildflower"
"8","stan.nuts",19639,1101,20000,0.927124669797642,0.8,0.0533185954698606,0,0,101,63,100.407290976323,"diag_e","wildflower"
"9","stan.nuts",68716,1101,20000,0.893769249834062,0.8,0.0581949340697296,0,0,87.272,63,86.6883761511772,"diag_e","wildflower"
"10","stan.nuts",34163,1101,20000,0.918469137303014,0.8,0.0282241618682584,0,0,175.8672,127,128.554688283057,"diag_e","wildflower"
"11","stan.nuts",52953,1101,20000,0.908773328115377,0.8,0.0337732397865756,0,0,171.1376,127,114.834867608148,"diag_e","wildflower"
"12","stan.nuts",75834,1101,20000,0.88339084606881,0.8,0.053280686581082,0,0,96.6288,63,102.796856811133,"diag_e","wildflower"
"13","stan.nuts",23712,1101,20000,0.849784369783916,0.8,0.0566268217002537,0,0,84.3776,63,83.6382351915635,"diag_e","wildflower"
"14","stan.nuts",80542,1101,20000,0.888972559003794,0.8,0.0675401998251663,0,0,65.6096,63,22.4530620370528,"diag_e","wildflower"
"15","stan.nuts",38632,1101,20000,0.893096351217207,0.8,0.0578825859391556,0,0,85.7104,63,81.3275380191852,"diag_e","wildflower"
"16","stan.nuts",47339,1101,20000,0.923162130951056,0.8,0.022325402193015,0,0,236.9328,255,117.430409090699,"diag_e","wildflower"
"17","stan.nuts",54263,1101,20000,0.828648677474492,0.8,0.0614420882586729,0,2,72.5352,63,57.9940732022362,"diag_e","wildflower"
"18","stan.nuts",15202,1101,20000,0.908583231502596,0.8,0.0542305821741231,0,0,107.0544,63,110.003173024889,"diag_e","wildflower"
"19","stan.nuts",26482,1101,20000,0.899612556109539,0.8,0.0442142096079067,0,0,126.6992,127,84.5106633625077,"diag_e","wildflower"
"20","stan.nuts",32386,1101,20000,0.845658436540357,0.8,0.0551565086600832,0,36,96.66535,63,104.805448658364,"diag_e","wildflower"
